rank	username	minecraft:dropped/minecraft:white_glazed_terracotta
1	eitanzaki	1647
2	noam464	508
3	Hyp3rion_	145
4	Snowflowe	128
5	mihimihimihi	98
6	emreknugrlu	70
7	Di_infiri	64
8	EcksD	59
9	PigDab	57
10	joethahobo	52
11	Krowuss	33
12	Jackattack53	22
13	Kowcio_	20
14	Blaiku	18
15	CarltheCuck	14
16	skitzxo	12
17	_Virify_	8
17	Enderxz3	8
19	NatalieTW	6
20	Frozil20	5
20	kekhon	5
22	YungMaki	4
23	QuiCreans	2
23	lordpipe	2
25	Mr_Byzantine	1
25	KarlKaek	1
25	Mahoose	1
25	hanaryheatwave	1
25	WET_WET_WET	1
