rank	username	minecraft:dropped/minecraft:netherite_upgrade_smithing_template
1	ECstardust	64
2	theonlymagikarp	12
3	Merv__	8
3	powercas_gamer	8
5	Lazy_geniusig	6
5	Hyp3rion_	6
7	Jimb0nat0r	3
8	MattieHD	2
8	_witch_craft_	2
8	DisgruntledKoala	2
8	Krowuss	2
8	CacheOut	2
8	Moss_2006	2
14	k_ce	1
14	CLG_Kata	1
14	MyMawgDonaldsGon	1
14	Lez_	1
14	beeperbeeper5	1
14	Secret_Canary	1
14	Juansinmiedo18	1
14	noam464	1
14	2extreeme	1
14	OreTheBear	1
14	Quaintster	1
14	IlkeCookes_	1
14	_Mythic____	1
14	DairyNickel756	1
