rank	username	minecraft:dropped/minecraft:iron_bars
1	Hyp3rion_	21812
2	Smoke____	3154
3	Spacewardharpy7	3067
4	beeperbeeper5	2850
5	eitanzaki	1773
6	thewindmillman	1408
7	noam464	1293
8	EcksD	1188
9	SteveCraftBlocks	1158
10	rarrq	1024
11	Jackattack53	616
12	HellsSponge	613
13	Mahoose	487
14	TheSecondLord	461
15	Freak_Genius	405
16	AlexxO_o	379
17	mwrty	342
18	T045RTY	329
19	sadvavilloso	320
20	Frozil20	299
21	Jiminie	295
22	Blaiku	276
23	stahouo	260
24	Skippeh	198
25	gcaisawesome	169
26	PigDab	156
27	MrKrabOnCoke	147
28	Chromary	136
29	Alteriity	132
29	Kowcio_	132
31	Merv__	126
31	mihimihimihi	126
33	Di_infiri	123
34	stavgod	105
35	Luminad3	102
36	thescout7	99
37	Racengan	94
38	TechnoNinja64	91
39	oxfordschool	78
40	chipklip	76
41	KingMatthew506	72
42	joethahobo	68
42	Skylord_Luke	68
44	MousePlays	66
45	Factoroni	64
45	Legendosh	64
47	500am	51
48	KG1999	48
48	Segotep999	48
50	Huwulling	47
50	AssFullaCum	47
52	Blu3beast	46
53	__tomato	44
54	Comma__	43
55	UCP_TheKingK	40
55	SSytex_X	40
57	NomadicRobin_	38
57	calamariclam_I	38
59	Inchef	34
59	CruncyIsTaken	34
61	Cocoamallows	33
61	Miko_Fullbuster	33
63	ImpavidArcher	32
63	jewbacaman	32
63	Austinizzle	32
63	VentiHilton	32
63	EcksDofficial	32
68	kekhon	31
69	Rebytre	30
69	Ezekson	30
71	iSammael	28
72	RobotMinion101	25
73	Blackberry1310	23
73	LeGold	23
73	The_slideV3	23
76	kyouma777	22
76	Nicserso	22
78	NameGenerat0r	20
78	Enderslayerxz3	20
78	HesDemonPants	20
81	Wowful	19
81	fkGrim	19
83	DemTechAlpha	18
83	obzii	18
83	cichy096	18
86	burbankbuilder28	17
87	SaucyDark	16
87	Ardennes	16
87	Winklepicker279	16
87	GreedyFern8581	16
87	pappaberg	16
87	Billious	16
87	Xclax101	16
87	lordpipe	16
87	bruh072	16
96	Muffindrake	15
96	MeetTheWollo	15
98	Agent108	14
98	alderban107	14
98	_KuruKuru	14
101	Groovy_MoonBird	13
101	_Virify_	13
101	kars0n	13
101	yatsuta	13
105	MilleGrug	12
106	ElectricDragon81	11
107	Soplight	10
107	lcvezra	10
109	SyntheticSurgeon	9
109	CoffeeNoir	9
109	Onennon	9
112	EveryonesUncle	8
112	wwwwinnebagoooo	8
112	Hisiste	8
112	Nekomin0	8
112	Powowowow	8
117	Wooptey	7
117	Simon_Lowell	7
117	HAIRYCLOUD626	7
117	Akoot_	7
117	YungMaki	7
117	ATLDON	7
117	PlasticOtari	7
124	PhantomsGhost_	6
124	fr0stss	6
124	Xalithia	6
124	PortlyPete69	6
124	jnp_gaming	6
129	12Magner05	5
129	_Karmaa	5
129	Kubeusz2010	5
132	Drlzyy	4
132	AshleeCW	4
132	ShedJr_	4
132	SquadMonster	4
132	Cryptacity	4
132	DAD_1996	4
132	ToastedGamingYT	4
132	Jimi7hits	4
132	ILoveCarrot	4
132	Hermanni__	4
142	teslawolf38	3
142	EMC_	3
142	Swexti	3
142	Mattesco	3
142	LilLizardWizard	3
142	binman420	3
142	The_Quack_Dealer	3
142	Luigipunch989	3
142	Dogcorn69420	3
142	Sheldor097	3
142	Steelynan	3
142	MysticalKitty139	3
142	kinas45y5	3
155	NotP0tato	2
155	hm947	2
155	ZaneABrain	2
155	Lez_	2
155	MSK__	2
155	LoboTheLobster	2
155	Malorn_Aetherius	2
155	BobDeBouwer1337	2
155	MinttyFressh	2
155	emrekn	2
155	ROY4LE	2
155	SellyZ	2
155	M_Patata	2
155	MyNameIsJobo	2
155	Silvo614	2
155	HyperCave	2
155	yulgur1	2
155	Inbefour	2
155	_Bguette_	2
155	GlitchMixed	2
155	_Ruzeeq_	2
155	MasterNueve	2
155	Ze_BaronKrigler	2
155	Nagasaki_Riku	2
155	ProbsNotNova	2
155	fffMike	2
155	Eczbek	2
155	TheRealHi	2
155	vandmanden	2
155	The_SlideV5	2
155	coobert42	2
186	dimondking777	1
186	_stets	1
186	I_Am_Mushkin	1
186	Killercatty78	1
186	SteveWithClout	1
186	m_be9	1
186	corvidpartyfor6	1
186	KGTV	1
186	r123moore	1
186	CharlieButt	1
186	Snowflowe	1
186	Bumpy419	1
186	shockdocta	1
186	out1s	1
186	selectrix	1
186	fred870d	1
186	dartwaffle	1
186	_naturell	1
186	fw3xywashere	1
186	gustarbite	1
186	lillips	1
186	Fuad_R	1
186	MAns_44	1
186	fluddd	1
186	the__Reaper4999	1
186	ItzWqlfy	1
186	DeGodz4life	1
186	LazySupport00	1
186	Eraxa	1
186	EtherealEspresso	1
186	Spenduh	1
186	SammiWolfGirl	1
186	Nargotah	1
186	little_dUki	1
186	h2p_emrld	1
