rank	username	minecraft:dropped/minecraft:villager_spawn_egg
1	Akoot_	454
2	kekhon	385
3	Di_infiri	3
4	Skylord_Luke	2
5	joethahobo	1
5	TheShyPig	1
5	_Karmaa	1
5	Blu3beast	1
