rank	username	minecraft:dropped/minecraft:oak_wood
1	Spacewardharpy7	1982
2	Jackattack53	958
3	Hyp3rion_	787
4	PlasticOtari	257
5	Bumpy419	240
6	Rebytre	113
7	ProbsNotNova	66
8	beeperbeeper5	33
9	Kowcio_	28
10	ougstur	26
11	Skylord_Luke	21
12	noam464	17
13	Werbe	13
14	Fullut	12
15	wiqor	9
16	Babushka0430	7
17	Uzbeki_John	5
17	dj1121	5
19	__Auspicious	3
19	PortlyPete69	3
19	Smoke____	3
22	NinetyNick	2
23	Groovy_MoonBird	1
23	chipklip	1
23	Frozil20	1
23	rarrq	1
23	Mimiir345	1
23	EveryonesUncle	1
23	DarlaMeow	1
23	iSammael	1
23	carbo_bro	1
