rank	username	minecraft:dropped/minecraft:tropical_fish_bucket
1	Cyanide4Kitten	29
2	noam464	25
3	_i_ERROR_i_	19
4	Mahoose	18
5	Xalithia	15
5	Hyp3rion_	15
7	skroobiez	13
8	Werbe	11
8	TechnoNinja64	11
10	Lez_	7
10	Blackberry1310	7
10	kekhon	7
10	FreakGenius	7
10	Blu3beast	7
10	Ezekson	7
16	knarian	6
16	EcksD	6
18	teslawolf38	5
18	eitanzaki	5
18	Jimb0nat0r	5
21	Akoot_	4
21	luseis	4
21	robonya_	4
21	Yamdalorian	4
25	aangwie	3
25	BobDeBouwer1337	3
25	gloominq	3
25	boolingod	3
25	ConnorDanky_	3
25	Nicserso	3
31	pintsizedrogue	2
31	k_ce	2
31	ECstardust	2
31	thewindmillman	2
31	masskedman	2
31	Dakar_	2
31	Quaintster	2
31	Xclax101	2
31	SkateboardR6	2
31	Kowcio_	2
41	CLG_Kata	1
41	PazinGaming	1
41	MyMawgDonaldsGon	1
41	diamondgolem35	1
41	77Holly7	1
41	T045RTY	1
41	tsohomie	1
41	beeperbeeper5	1
41	rarrq	1
41	12Magner05	1
41	MattieHD	1
41	Inchef	1
41	xxPipperDipperxx	1
41	mimbo1211	1
41	craaaash	1
41	CarltheCuck	1
41	Arceus1975	1
41	Krowuss	1
41	Azmodan_246	1
41	Voxin2K	1
41	Onennon	1
41	Maenara	1
41	NomadicRobin_	1
41	DarlaMeow	1
41	HellsSponge	1
41	Hisiste	1
41	Spacewardharpy7	1
41	lordpipe	1
41	IlkeCookes_	1
41	Segotep999	1
41	Enderxz3	1
41	Spaghettatron	1
