rank	username	minecraft:dropped/minecraft:golden_boots
1	thewindmillman	128
2	Fullut	34
2	Spacewardharpy7	34
4	lordpipe	28
5	RebelAndroid	26
6	joethahobo	25
6	Di_infiri	25
8	eitanzaki	24
9	beeperbeeper5	21
9	TheSecondLord	21
11	kekhon	20
11	Ezekson	20
13	Zythose	19
14	rarrq	17
14	noam464	17
14	HellsSponge	17
14	Frozil12	17
18	PigDab	16
18	Akoot_	16
20	Blackberry1310	15
20	EveryonesUncle	15
20	Skippeh	15
23	Mahoose	14
23	censorsheep	14
23	Blaiku	14
26	Historical_Sand	13
26	NomadicRobin_	13
26	Deerfoot	13
26	Miko_Fullbuster	13
30	soundad	12
30	monky_irl	12
30	Kowcio_	12
33	Winklepicker279	11
33	Eraxa	11
33	Smoke____	11
36	q_wq	10
36	M_Patata	10
36	Kakolbus	10
36	Freak_Genius	10
36	pixelviolin	10
36	YungMaki	10
36	djancak	10
36	Enderslayerxz3	10
44	thescout7	9
44	gcaisawesome	9
44	Snowflowe	9
44	Racengan	9
44	Hisiste	9
49	Jovaphobic	8
49	EMC_	8
49	El_Jalapeno	8
49	MasterNueve	8
49	Kubeusz2010	8
54	PhantomsGhost_	7
54	T045RTY	7
54	ShedJr_	7
54	ebanana	7
54	Xclax101	7
59	_Virify_	6
59	Cowison	6
59	Wooptey	6
59	platinumzero	6
59	aec9	6
59	Deathkob	6
59	ProfessorDiaper	6
59	sebastiensaborio	6
59	Njensen7	6
59	oxfordschool	6
69	pintsizedrogue	5
69	Sleek_Storm_721	5
69	KarlKaek	5
69	ImpavidArcher	5
69	gaziter10	5
69	12Magner05	5
69	eviltunix	5
69	fr_ser	5
69	gabriels543	5
69	Chromary	5
69	Arceus1975	5
69	fred870d	5
69	OtariCharlie	5
69	Lord_Jord	5
69	Meatlaugh	5
69	stahouo	5
69	PortlyPete69	5
69	MilleGrug	5
69	EcksD	5
69	jnp_gaming	5
89	teslawolf38	4
89	fr0stss	4
89	titanlax	4
89	jushykins	4
89	Kkanot	4
89	set67	4
89	Mewar	4
