rank	username	minecraft:dropped/minecraft:fire_coral_block
1	pintsizedrogue	163
2	MattieHD	128
3	Blaiku	78
4	Onennon	75
5	eitanzaki	65
6	emrekn	23
7	Maenara	21
8	Skylord_Luke	19
9	CollinMH06	18
9	gusstationwerker	18
11	Jovaphobic	10
11	Arceus1975	10
11	thewindmillman	10
14	Lez_	6
14	Eerini	6
14	FreakGenius	6
17	Sral7	5
18	diamondgolem35	3
18	binman420	3
20	hm947	2
20	12Magner05	2
20	YungMaki	2
23	TheSecondLord	1
23	Fullut	1
23	Covalents	1
23	Hyp3rion_	1
23	groofles	1
23	Blu3beast	1
23	Kura2218	1
23	IdeallyGrey	1
23	stellarjay	1
23	EcksD	1
23	Smoke____	1
