rank	username	minecraft:dropped/minecraft:silence_armor_trim_smithing_template
1	Buuck_	5
2	_Mythic____	4
3	PazinGaming	2
3	MyMawgDonaldsGon	2
3	shadowthemonkey	2
6	Strats__	1
6	robonya_	1
6	Jimb0nat0r	1
