rank	username	minecraft:dropped/minecraft:cooked_beef
1	Blackberry1310	1745
2	TechnoNinja64	1487
3	HellsSponge	1104
4	kekhon	961
5	500am	744
6	Akoot_	660
7	fluddd	659
8	Di_infiri	624
9	KarlKaek	455
10	EcksD	373
11	lordpipe	338
11	sp00ky_ghost977	338
13	audiocracked	320
14	Werbe	300
14	AssEatrAndLicker	300
16	jnp_gaming	258
17	Blu3beast	254
18	Blaiku	224
19	eitanzaki	194
20	rarrq	189
21	SvenskaHugo	168
22	Kowcio_	160
23	EMC_	156
24	SaucyDark	149
24	MattieHD	149
26	Hyp3rion_	147
27	Groovy_MoonBird	146
28	YungMaki	143
29	Xclax101	138
30	FishisTTV	137
31	thescout7	134
32	Razzgriz	128
33	Mahoose	123
34	TooManyDuck	120
35	ivorico	118
36	Sky_light_KING	114
37	NomadicRobin_	113
38	Voxin2K	112
39	Skippeh	110
40	Bandito_Roamer	109
40	Fullut	109
42	G1ldor	108
42	sebastiensaborio	108
44	bigstankyy	99
44	T045RTY	99
46	pintsizedrogue	97
47	claivin	96
48	Frozil12	94
49	WYFYoyo	93
50	_naturell	92
51	Soap_Bender	91
52	diamondgolem35	87
53	DAD_1996	85
54	Lord_Jord	84
54	Sral7	84
56	burbankbuilder28	82
57	__tomato	81
58	SpookyDraggin	78
59	PortlyPete69	77
59	ProbsNotNova	77
61	loveseeker	76
62	MakeHistory157	75
63	CruncyIsTaken	74
63	censorsheep	74
65	LeeMcGee30	73
66	Vizzoid	71
66	Kakolbus	71
68	RodSerlingCringe	70
69	_TCARREIRA_	69
70	KingFaenor	68
71	_Nuf	66
72	AuroraValkyrie	64
72	SLASHZEERA	64
72	wTXop	64
72	Kouridragon	64
72	_Cloverbelle_	64
72	MightyWertu	64
72	RedcatVII	64
72	33sudo	64
80	IWorkAtIkea	63
80	Cranium856	63
82	Spenduh	61
83	RebelAndroid	60
83	TheDiamondCG	60
83	ketaminmann	60
83	XboxPanda	60
83	chipklip	60
83	bloomkieren	60
89	oxfordschool	59
90	beeperbeeper5	56
90	Bumpy419	56
92	Snowflowe	55
93	beeleg	53
93	stahouo	53
93	BreadBacon	53
96	PhantomsGhost_	52
97	Nagasaki_Riku	51
98	mwrty	50
98	DennyKai	50
100	mimbo1211	48
101	jushykins	46
101	fkGrim	46
103	TheShyPig	45
104	diggydog67	44
105	intropass	43
105	thewindmillman	43
107	Wooptey	42
107	set67	42
107	layabout100	42
107	PlzNoBM	42
111	pappaberg	41
112	egglapras	39
112	TableTim	39
112	Spacewardharpy7	39
115	Legendosh	37
116	EveryonesUncle	35
117	ori0le	34
117	El_Jalapeno	34
119	fred870d	33
120	dudcreeper	32
120	emrekn	32
120	Fildyr	32
123	SoftSix	30
124	_Dean_123	29
124	Karbl	29
126	The11thDoctor	28
127	H72l9w	27
127	aec9	27
127	Powowowow	27
127	EcksDofficial	27
131	fanofbands101	26
131	Flores991	26
131	KingMatthew506	26
131	Nicserso	26
135	xxPipperDipperxx	25
135	Shogunite	25
135	Soplight	25
135	Smoke____	25
139	Zythose	24
139	Njensen7	24
141	Warlord324	23
141	yatsuta	23
143	fallingemma	22
143	SuperPooch06	22
143	MinerDec	22
143	thgrocks	22
143	jcool7	22
148	SSytex_X	21
149	Merv__	20
149	CarltheCuck	20
149	Arceus1975	20
149	MustaLoordi	20
153	dopplexd	19
153	TheSecondLord	19
153	GingerNeutron	19
153	Onennon	19
153	Bawbman	19
158	livingdaydreams	18
158	YahooScreen9000	18
158	Russiancat1	18
158	rejenita	18
158	Northernrabbit	18
163	Flegneh	17
163	pZygh0st	17
163	SquadMonster	17
163	Hisiste	17
163	lcvezra	17
163	Kateesaur	17
169	CARGOESVROOM_7	16
169	aa2x_	16
169	_Karmaa	16
172	joethahobo	15
172	Dali1465	15
172	orxngejuice	15
172	kinas45y5	15
176	soundad	14
176	Frxnkz	14
176	Useless_Relic	14
176	Groundler	14
176	Teserox	14
176	Matorz	14
176	Enderslayerxz3	14
183	Jalvajar	13
183	Mewar	13
183	NameGenerat0r	13
183	TheEnderman548	13
183	voiding_	13
183	SammiWolfGirl	13
183	Dogcorn69420	13
190	wiqor	12
190	JESS_THE_RERE	12
190	1442	12
190	geekbird	12
190	Omar_Alone	12
190	Hermanni__	12
190	Oxygen16	12
197	seanitoo	11
197	Incinere	11
197	gaziter10	11
197	Comma__	11
197	BlueZabu	11
197	Shiirazuku	11
197	Skomo	11
197	ClemenPine	11
197	obzii	11
197	skote77	11
207	I_Am_Mushkin	10
207	Sna_Ke	10
207	CoffeeNoir	10
207	FirsTimeGamingTV	10
207	Enigma0251	10
207	Nach0Bear	10
207	NotKaden_	10
207	Avermu	10
207	Chromary	10
207	Truckoss	10
207	BabyDaddy1	10
218	ZaneABrain	9
218	Swexti	9
218	noam464	9
218	Kynigito	9
218	HolyVenom	9
218	Kyrum2169	9
218	Freedrik	9
225	Hano_Clown	8
225	Malorn_Aetherius	8
225	Freeman666	8
225	WET_WET_WET	8
225	LilLizardWizard	8
225	lillips	8
225	_Wannabe_	8
225	Ezekson	8
233	angwla	7
233	ImpavidArcher	7
233	tramizu	7
233	Prodiginus	7
233	John6970	7
233	Winklepicker279	7
233	Jackattack53	7
233	Rumpletaezer	7
233	lOlmantschi	7
233	Meatlaugh	7
233	Zetsey	7
244	InfernalMound	6
244	crying_wolf_13	6
244	ItsAki_	6
244	RobotMinion101	6
244	ogoa	6
244	Inbefour	6
244	Bloo2406	6
244	UltraZombie	6
244	alderban107	6
253	Iagoku	5
253	Reamdin	5
253	Cryptacity	5
253	Scathra	5
253	eviltunix	5
253	TheDankPlatypus	5
253	Ecplosive	5
253	moderncraft	5
253	ImDisconnected_	5
253	AJplaysMC_	5
253	zielkairos	5
253	masskedman	5
253	Ryan2685	5
253	Racengan	5
253	silverpopcorn	5
253	Vorlice	5
253	snizv1	5
253	Sheldor097	5
253	Vellu21	5
253	QueenOfDirt	5
273	Batoser	4
273	BlancoFlaco	4
273	Cartoonmaniac	4
273	TheEnusa	4
273	jacxhadow	4
273	Master_Kol	4
273	Cambo5000	4
273	Xalithia	4
273	SpicyMeatballs	4
273	ApophisNova	4
273	jewbacaman	4
273	Ender_Souls	4
273	Maenara	4
273	Gryglu583	4
273	KlausVonStiglitz	4
273	Katthaj	4
273	The_slideV3	4
273	GeromeMerris	4
273	Tina_x	4
273	Kubeusz2010	4
273	MyNamaSheff	4
273	YoshikageBites	4
273	trexgb	4
273	MelodyGaysharks	4
273	h2p_emrld	4
298	JEWISHBadenBeele	3
298	q_wq	3
298	DepressedCubic	3
