rank	username	minecraft:dropped/minecraft:stonecutter
1	Mahoose	64
2	joethahobo	23
3	noam464	20
4	FreakGenius	19
5	lordpipe	18
6	luseis	14
7	EcksD	12
8	thewindmillman	11
8	Blaiku	11
10	Soplight	8
11	EMC_	5
11	Hyp3rion_	5
11	EveryonesUncle	5
11	Myntsys	5
11	Ezekson	5
16	beeperbeeper5	4
16	rarrq	4
16	TheSecondLord	4
16	kekhon	4
16	Xclax101	4
16	Kowcio_	4
16	YungMaki	4
16	MadmanRaven	4
24	k_ce	3
24	Arceus1975	3
24	Snowflowe	3
24	PlasticOtari	3
28	pintsizedrogue	2
28	soundad	2
28	I_Am_Mushkin	2
28	ImpavidArcher	2
28	Lez_	2
28	Smashic	2
28	Masssonnn	2
28	WET_WET_WET	2
28	Solar_Power	2
28	Krowuss	2
28	Werbe	2
28	Mattesco	2
28	Akoot_	2
28	_Bguette_	2
28	Avocadogerms	2
28	Blu3beast	2
28	fluddd	2
28	ConnorDanky_	2
28	Nicserso	2
47	Groovy_MoonBird	1
47	Zee_zey	1
47	Mr_Byzantine	1
47	_Huge_Male_	1
47	TildaAndrea	1
47	KingFaenor	1
47	Frozil20	1
47	Wooptey	1
47	eitanzaki	1
47	livingdaydreams	1
47	Historical_Sand	1
47	Euclidoris	1
47	Stynxy	1
47	ProfessorBee	1
47	redikul	1
47	Gingayy	1
47	thescout7	1
47	Motsaro	1
47	xxPipperDipperxx	1
47	gcaisawesome	1
47	M_Patata	1
47	CollinMH06	1
47	MyNameIsJobo	1
47	Di_infiri	1
47	Jackattack53	1
47	Chromary	1
47	NarwhalTaco	1
47	Hiryu27	1
47	oscminus	1
47	Voxin2K	1
47	Moofyman	1
47	Wowful	1
47	ogoa	1
47	lillips	1
47	Tyrannosplart	1
47	Manaateee	1
47	DarlaMeow	1
47	HellsSponge	1
47	_Karmaa	1
47	claivin	1
47	SwooshBoi	1
47	Groundler	1
47	Hisiste	1
47	Spacewardharpy7	1
47	MasterNueve	1
47	pixelviolin	1
47	Kyrum2169	1
47	brofrickcheaters	1
47	SSytex_X	1
47	_TCARREIRA_	1
47	Kferno	1
47	Enderxz3	1
47	Legendosh	1
47	MrMeisterProper	1
47	xolstoi	1
47	WYFYoyo	1
