rank	username	minecraft:dropped/minecraft:diamond
1	Frozil12	25511
2	Di_infiri	6544
3	EcksD	5801
4	Hyp3rion_	5507
5	Werbe	5328
6	HellsSponge	3709
7	lordpipe	3667
8	NomadicRobin_	3087
9	joethahobo	2987
10	YungMaki	2943
11	eitanzaki	2930
12	thewindmillman	2905
13	kekhon	2667
14	stahouo	2646
15	chipklip	2514
16	beeperbeeper5	2159
17	alderban107	2083
18	lillips	1953
19	Smoke____	1894
20	noam464	1844
21	Rebytre	1762
22	oxfordschool	1672
23	Skylord_Luke	1477
24	Freak_Genius	1388
25	Mahoose	1385
26	rarrq	1323
27	Fullut	1314
28	MilleGrug	1246
29	Historical_Sand	1220
30	PigDab	1216
31	Blackberry1310	1210
32	thescout7	1164
33	mwrty	1157
34	fred870d	1122
35	Groovy_MoonBird	1074
36	Blaiku	1073
37	Shogunite	1065
38	Spacewardharpy7	1038
39	TechnoNinja64	965
40	Blu3beast	962
41	Ezekson	955
42	Akoot_	942
43	SammiWolfGirl	892
44	gcaisawesome	861
45	500am	794
46	EcksDofficial	785
47	PhantomsGhost_	766
48	CJPerson	763
49	TheSecondLord	732
50	Eraxa	729
51	__tomato	725
52	NameGenerat0r	723
53	jnp_gaming	711
54	Zythose	685
55	Jackattack53	670
56	fffMike	667
57	Kyrum2169	656
58	Spenduh	634
59	6king6colt6	633
59	_naturell	633
61	FishyBoy3811	591
62	ApophisNova	580
62	MyNamaSheff	580
64	Groundler	568
65	Zoeyfortnite	567
66	Sral7	560
67	Racengan	540
68	bigstankyy	528
69	Steelynan	516
70	Nicserso	511
71	h2p_emrld	506
72	XboxPanda	503
73	fluddd	492
74	ImpavidArcher	469
75	Inbefour	465
76	EMC_	464
77	I_Am_Mushkin	458
78	2Stout	455
79	Euclidoris	438
80	vandmanden	425
81	set67	410
82	AssFullaCum	405
83	GlitchyPlate810	396
84	pintsizedrogue	387
85	Segotep999	384
86	ProbsNotNova	380
87	boog4loo	377
88	MattieHD	370
89	cog	360
90	SkateboardR6	355
91	obzii	354
92	Menthas	348
93	kinas45y5	333
94	eviltunix	328
95	Zaridey	327
96	NotKaden_	315
96	claivin	315
98	Snowflowe	312
99	YungWali	310
100	PortlyPete69	301
101	CyrusIsTired	300
102	SquadMonster	297
103	gabriels543	295
104	benediktine1	287
105	k1ngGilgamesh	283
106	Rich_Kat	279
107	12Magner05	278
108	Da_Boss_Rani	277
109	Smashic	276
109	MyNameIsDakar	276
111	ogoa	272
111	Soplight	272
113	WET_WET_WET	268
114	xxPipperDipperxx	263
115	Cocoamallows	259
115	Legendosh	259
117	Masssonnn	258
118	T045RTY	247
119	Njensen7	245
120	Marbz_	236
120	Syropatathe	236
122	ssleepless	234
123	Awyrlas	231
124	Incinere	230
125	gustarbite	229
126	Merv__	218
127	HolyVenom	216
128	stellarjay	214
129	djancak	209
130	Comma__	201
131	Skippeh	196
