rank	username	minecraft:dropped/minecraft:stripped_birch_wood
1	PigDab	26
2	noam464	14
3	Luigipunch989	6
4	Merv__	4
5	Mahoose	3
5	Lez_	3
5	Blackberry1310	3
5	KamFurnace	3
9	Groundler	2
9	Legendosh	2
11	eitanzaki	1
11	beeperbeeper5	1
11	500am	1
11	MyNameIsJobo	1
11	Reneedium	1
11	Rebytre	1
11	Tyrannosplart	1
