rank	username	minecraft:dropped/minecraft:anvil
1	eitanzaki	382
2	Spacewardharpy7	268
3	Mahoose	228
4	noam464	180
5	mihimihimihi	156
6	NomadicRobin_	128
7	lordpipe	82
8	lillips	64
9	MattieHD	56
10	weabis	44
11	kekhon	38
12	Blaiku	25
12	Groundler	25
14	Frozil20	20
15	set67	13
16	ImpavidArcher	12
16	thewindmillman	12
18	gcaisawesome	11
18	Chromary	11
20	Hyp3rion_	10
21	Cowison	9
21	TechnoNinja64	9
23	Esme_1	8
23	TheWildMateo	8
23	jnp_gaming	8
26	Akoot_	7
27	beeperbeeper5	6
27	PigDab	6
27	lcvezra	6
30	YungMaki	5
31	pintsizedrogue	4
31	Merv__	4
31	Di_infiri	4
31	stavgod	4
31	PlasticOtari	4
36	joethahobo	3
36	ProbsNotNova	3
38	PhantomsGhost_	2
38	Alteriity	2
38	Historical_Sand	2
38	Blackberry1310	2
38	Werbe	2
38	TheShyPig	2
38	sammidk	2
38	Luminad3	2
38	luseis	2
38	Tyrannosplart	2
38	Fuad_R	2
38	Lifedy	2
38	NameGenerat0r	2
38	Eraxa	2
38	xolstoi	2
38	Smoke____	2
54	dabloons	1
54	BigBootyHudge	1
54	teslawolf38	1
54	I_Am_Mushkin	1
54	Wolf_Mauler_73	1
54	LeDuctTape	1
54	tuckerdoodle	1
54	Batman922	1
54	SidorAlex	1
54	Huwulling	1
54	Reamdin	1
54	ShedJr_	1
54	Lez_	1
54	Myszoaz	1
54	stevewithclout	1
54	ITDV	1
54	Swexti	1
54	rarrq	1
54	Frxnkz	1
54	Auseawesome	1
54	Fullut	1
54	redikul	1
54	thescout7	1
54	IforgotCS_Source	1
54	ROY4LE	1
54	SellyZ	1
54	mimbo1211	1
54	ImDisconnected_	1
54	Marbz_	1
54	Arceus1975	1
54	Snowflowe	1
54	CrateOfBoxes	1
54	Bumpy419	1
54	Skylord_Luke	1
54	MrQuanQuan	1
54	xDraggin	1
54	gustarlep	1
54	_Bguette_	1
54	DarlaMeow	1
54	HellsSponge	1
54	Racengan	1
54	BumbleBeever	1
54	Matorz	1
54	Vorlice	1
54	MovingFish7	1
54	IAmTheWalrus910	1
54	Kura2218	1
54	Burge_r	1
54	pixelviolin	1
54	PortlyPete69	1
54	Kubeusz2010	1
54	ConnorDanky_	1
54	EcksD	1
54	Nicserso	1
54	Enderxz3	1
54	bladeefan2009	1
