rank	username	minecraft:dropped/minecraft:diamond_axe
1	Freak_Genius	74
2	Di_infiri	72
3	eitanzaki	71
4	kekhon	63
5	Akoot_	54
6	gcaisawesome	53
7	thewindmillman	39
8	kinas45y5	34
9	KingMatthew506	32
10	Hyp3rion_	26
11	thescout7	25
12	TheShyPig	23
13	rarrq	22
14	Nach0Bear	21
15	noam464	20
16	Blu3beast	19
17	Mahoose	18
17	Blackberry1310	18
19	lordpipe	17
19	oxfordschool	17
21	ImpavidArcher	16
21	Blaiku	16
21	Hermanni__	16
24	Groovy_MoonBird	15
24	EcksD	15
26	itburb	14
26	ROY4LE	14
26	RodSerlingCringe	14
29	TechnoNinja64	13
30	EMC_	12
30	Werbe	12
30	LeGold	12
30	groofles	12
30	_Bguette_	12
30	Groundler	12
30	SammiWolfGirl	12
30	LeeMcGee30	12
38	XboxPanda	11
38	Arceus1975	11
38	Rebytre	11
38	Racengan	11
38	MovingFish7	11
38	Spenduh	11
44	6king6colt6	10
44	T045RTY	10
44	microcrisp	10
47	himak1	9
47	SuperPooch06	9
47	HyperCave	9
47	EcksDofficial	9
51	Merv__	8
51	burbankbuilder28	8
51	Hiryu27	8
51	fred870d	8
51	chipklip	8
51	Kowcio_	8
51	Ezekson	8
58	KarlKaek	7
58	gaziter10	7
58	Kamflame10	7
58	mwrty	7
58	TheWildMateo	7
58	Maenara	7
58	cog	7
58	Warlord324	7
58	TheEnderman548	7
58	YungMaki	7
58	__tomato	7
58	Soplight	7
58	stahouo	7
58	fffMike	7
58	Kubeusz2010	7
58	OfficerAnvil	7
58	Smoke____	7
75	pintsizedrogue	6
75	Historical_Sand	6
75	MyNameIsJobo	6
75	Rumpletaezer	6
75	Bumpy419	6
75	Sky_light_KING	6
75	Meatlaugh	6
75	The_slideV3	6
75	HellsSponge	6
75	Frozil12	6
75	Xclax101	6
75	Steelynan	6
75	cichy096	6
75	Enderslayerxz3	6
75	Legendosh	6
75	HesDemonPants	6
75	Zoeyfortnite	6
92	BlancoFlaco	5
92	joethahobo	5
92	Euclidoris	5
92	TheSecondLord	5
92	set67	5
92	xxPipperDipperxx	5
92	CollinMH06	5
92	gabriels543	5
92	NameGenerat0r	5
92	censorsheep	5
92	CSG_Haru	5
92	jcool7	5
92	Skippeh	5
92	Kateesaur	5
92	h2p_emrld	5
107	_Virify_	4
107	PhantomsGhost_	4
107	strongman951753	4
107	Natty	4
107	ShedJr_	4
107	beeperbeeper5	4
107	MattieHD	4
107	GingerNeutron	4
107	Smashic	4
107	Z3braYTIL	4
107	Masssonnn	4
107	NotKaden_	4
107	BlueZabu	4
107	GOOBERGABE04	4
107	Zythose	4
107	pappaberg	4
107	ApophisNova	4
107	_Cloverbelle_	4
107	PigDab	4
107	xo_Marren_xo	4
107	NomadicRobin_	4
107	Inbefour	4
107	MyNameIsDakar	4
107	claivin	4
107	iHuntWeeaboos	4
107	Cocoamallows	4
107	Eraxa	4
107	somegirl12_	4
107	MineMaster0012	4
107	UCP_TheKingK	4
107	tsitrawhy	4
107	stellarjay	4
107	PortlyPete69	4
107	GlitchyPlate810	4
107	_3Stump_	4
107	laron58	4
107	anbbang	4
107	MyNamaSheff	4
107	AltnumberF4	4
107	jnp_gaming	4
147	Bandito_Roamer	3
147	Mowelan	3
147	soundad	3
147	Sleek_Storm_721	3
147	I_Am_Mushkin	3
147	TheMilkerOfCats	3
147	DinoDoctor_	3
147	Hpdinosaur	3
147	Incinere	3
147	Batman922	3
147	heckface	3
147	Auseawesome	3
147	m_be9	3
147	_Dean_123	3
147	Enigma0251	3
147	Hanselhoof	3
147	Motsaro	3
147	emrekn	3
147	Inchef	3
147	r123moore	3
147	Touched_Bread	3
147	Kubelz	3
147	ImDisconnected_	3
147	Doom_melon	3
147	Jackattack53	3
147	RobotMinion101	3
147	seramalen	3
147	Onennon	3
147	yulgur1	3
147	Jiminie	3
147	Deathkob	3
147	DarlaMeow	3
147	Soap_Bender	3
147	El_Jalapeno	3
147	wwwwinnebagoooo	3
147	SexcMf	3
147	Kyrum2169	3
147	BlankityMcBlank	3
147	starbits140	3
147	SSytex_X	3
147	Fizznut909	3
147	lcvezra	3
147	alderban107	3
147	PlasticOtari	3
147	Yogscast_Manden	3
147	diggydog67	3
193	Krasnal1337	2
193	Jovaphobic	2
193	heysushii	2
193	Froste131	2
193	JEWISHBadenBeele	2
193	teslawolf38	2
193	SaucyDark	2
193	Franco093	2
193	CoffeeNoir	2
193	Reamdin	2
193	Myszoaz	2
193	H72l9w	2
193	SquadMonster	2
193	Sleepy_Time_	2
193	titanlax	2
193	ratglock	2
193	ChosenBruh	2
193	ThePoliteG	2
193	shyshyannne	2
193	500am	2
193	boog4loo	2
193	AngalexikCZ	2
193	UncreativeArtist	2
193	Flapjacker687	2
193	Xalithia	2
193	walll	2
193	Kakolbus	2
193	CarltheCuck	2
193	Norrhede	2
193	DaviusMaximoose	2
193	Skylord_Luke	2
193	Afinnity	2
193	Truckoss	2
193	Sqwishy	2
193	AlexxO_o	2
193	KeruNatsema	2
193	thgrocks	2
193	ToastedGamingYT	2
193	KliBeast21	2
193	Nicky19	2
193	Pootis11	2
193	TheTrueClipse	2
193	fw3xywashere	2
193	Wowful	2
193	FreddyFart	2
193	masskedman	2
193	Gryglu583	2
193	EveryonesUncle	2
193	Russiancat1	2
193	Toiton	2
193	JESS_THE_RERE	2
193	jacobsoy	2
193	Shogunite	2
193	CookTheChef3	2
193	StinkyDiplomat	2
193	_zzoe	2
193	Nycteus_	2
193	fluddd	2
193	MightyWertu	2
193	VilsSwag	2
193	Spacewardharpy7	2
193	Godspirit249	2
193	WyngGoy	2
193	ItsDeltaMC	2
193	stavgod	2
193	LordBlaze11	2
193	ayamefag	2
193	07shiny	2
193	AssFullaCum	2
193	Kijiki	2
193	Segotep999	2
193	Luigipunch989	2
193	ProbsNotNova	2
193	CalebDHawk	2
193	Haadrada	2
193	Quotary	2
193	little_dUki	2
193	vandmanden	2
193	WYFYoyo	2
193	561cool	2
193	Freedrik	2
274	TheBiggestFeller	1
274	seanitoo	1
274	Menthas	1
274	elicobnoah	1
274	Crowvens	1
274	peachfuzz1267	1
274	JohnnyFyes	1
274	The_Thund	1
274	ProbablyNick	1
274	littlesophiagirl	1
274	RoskobiOne	1
274	Cowison	1
274	_stets	1
274	Ze1ig	1
274	FroggoTheDoggo	1
274	numbra	1
274	bigstankyy	1
274	error10101	1
274	Dedalus36	1
274	ColeSnyder	1
274	CryoInferno_	1
274	hm947	1
274	TooManyDuck	1
274	Sabby65	1
274	Gundam_Steven	1
274	Tolhart	1
274	Minimize501	1
