rank	username	minecraft:dropped/minecraft:waxed_cut_copper_stairs
1	Touched_Bread	260
2	TheSecondLord	128
3	thewindmillman	102
4	Mattesco	25
5	Jimb0nat0r	21
6	Soplight	4
7	MAns_44	2
8	ECstardust	1
8	powercas_gamer	1
8	Caribouse	1
8	Mahoose	1
8	bl1ss0	1
8	Segotep999	1
