rank	username	minecraft:dropped/minecraft:furnace
1	Werbe	1007
2	lordpipe	961
3	thewindmillman	407
4	cedric72	386
5	MOSS000	376
6	noam464	360
7	NameGenerat0r	326
8	eitanzaki	307
9	kekhon	195
10	Blaiku	190
11	Nicserso	182
12	Di_infiri	97
13	EcksDofficial	77
14	Blu3beast	74
15	obzii	66
16	Ezekson	64
17	SuperPooch06	62
18	noodlepack	61
19	FreddyFart	59
19	GlitchyPlate810	59
21	thescout7	45
22	Mr_Byzantine	42
23	lillips	40
24	Matek_	35
24	EcksD	35
26	stahouo	24
27	JEWISHBadenBeele	22
27	Prodiginus	22
27	Airem_Core	22
30	Hyp3rion_	21
31	Jackattack53	20
32	rarrq	19
33	MilleGrug	18
34	fluddd	17
35	Spenduh	16
36	fr0stss	15
37	beeperbeeper5	14
37	Bumpy419	14
37	cichy096	14
40	PigDab	13
40	oxfordschool	13
40	Kateesaur	13
43	SSytex_X	12
43	jnp_gaming	12
45	Racengan	11
45	TechnoNinja64	11
47	AuroraValkyrie	10
47	trixterrx	10
47	Snowflowe	10
47	aa2x_	10
47	Nagasaki_Riku	10
47	jcool7	10
53	ProfessorBee	9
53	Fullut	9
53	MinerDec	9
53	HellsSponge	9
53	_czarny	9
53	djancak	9
53	WYFYoyo	9
60	Comma__	8
60	fr_ser	8
60	GreedyFern8581	8
60	Onennon	8
60	Groundler	8
60	Eraxa	8
60	brofrickcheaters	8
60	SammiWolfGirl	8
60	Nekomin0	8
60	Skippeh	8
60	PlasticOtari	8
60	Smoke____	8
72	Merv__	7
72	TheSecondLord	7
72	SteveCraftBlocks	7
72	NotKaden_	7
72	stavgod	7
77	CliffEmAll	6
77	mwrty	6
77	theofiel	6
77	Sky_light_KING	6
77	Xclax101	6
77	SvenskaHugo	6
77	Legendosh	6
84	livingdaydreams	5
84	Mahoose	5
84	Frxnkz	5
84	Parcc	5
84	DTwenty	5
84	Freak_Genius	5
84	Frozil12	5
84	Cocoamallows	5
84	sebastiensaborio	5
84	WinterYoke	5
94	tsohomie	4
94	Gingayy	4
94	Xalithia	4
94	__TheNorseMan__	4
94	Stiar	4
94	JMK208	4
94	XboxPanda	4
94	CrateOfBoxes	4
94	kars0n	4
94	curterr	4
94	KliBeast21	4
94	masskedman	4
94	chipklip	4
94	Soap_Bender	4
94	Luigipunch989	4
94	Zoeyfortnite	4
110	FroggoTheDoggo	3
110	ImpavidArcher	3
110	Wooptey	3
110	H72l9w	3
110	InfernalMound	3
110	Devintronix	3
110	Zedducius	3
110	Guillemet	3
110	surfinggiraffejp	3
110	ROY4LE	3
110	2Stout	3
110	Corbsman	3
110	Spacewardharpy7	3
110	babyjimmyneutron	3
110	CalebDHawk	3
110	Miko_Fullbuster	3
126	rats_life	2
126	Astronicky	2
126	Groovy_MoonBird	2
126	Bandito_Roamer	2
126	BlancoFlaco	2
126	AlazelTheReal	2
126	EvenMina	2
126	301851	2
126	elmer1234	2
126	Ozixar	2
126	TuesdayEpisode	2
126	12Magner05	2
126	_Nuf	2
126	Tmb1	2
126	Kkanot	2
126	UncreativeArtist	2
126	emrekn	2
126	Inchef	2
126	hcb238	2
126	Covalents	2
126	fallingemma	2
126	burbankbuilder28	2
126	Skylord_Luke	2
126	The11thDoctor	2
126	TheShyPig	2
126	xo_Marren_xo	2
126	FishyBoy3811	2
126	Leyna3	2
126	Leonidas2k17	2
126	AlphaWolfPlaysMC	2
126	Wowful	2
126	KnightmareD	2
126	_Hayt	2
126	XxCookiequeenxX	2
126	fkGrim	2
126	E775	2
126	GravitySaint	2
126	the__Reaper4999	2
126	cytotoxaint	2
126	Ze_BaronKrigler	2
126	sadvavilloso	2
126	Kowcio_	2
126	YungMaki	2
126	Kyrum2169	2
126	__tomato	2
126	Juh1s	2
126	Moetis	2
126	y0shik	2
126	KingMatthew506	2
126	TheOuterCore	2
126	vandmanden	2
177	Menthas	1
177	abramgray	1
177	Mowelan	1
177	Ze1ig	1
177	Drlzyy	1
177	DiscardedCE	1
177	AshleeCW	1
177	Tommhh	1
177	6king6colt6	1
177	Sleek_Storm_721	1
177	diamondgolem35	1
177	bigstankyy	1
177	Hyugo	1
177	Flores991	1
177	_Razar	1
177	seba070c	1
177	T045RTY	1
177	Zlatovlas	1
177	Natty	1
177	ivorico	1
177	Jackster03	1
177	Arteriana	1
177	MSK__	1
177	joethahobo	1
177	Historical_Sand	1
177	Swalt	1
177	heckface	1
177	dopplexd	1
177	titanlax	1
177	Gooberkid223	1
177	Blackberry1310	1
177	Cryptacity	1
177	firesgal3116	1
177	Rich_Kat	1
177	YungJakobo	1
177	samtrid	1
177	leaf26	1
177	redikul	1
177	set67	1
