rank	username	minecraft:dropped/minecraft:light_blue_terracotta
1	thewindmillman	58836
2	Shogunite	704
3	noam464	509
4	__Auspicious	396
5	rarrq	380
6	lordpipe	233
7	kekhon	209
7	EcksD	209
9	groofles	192
10	KarlKaek	100
11	Hyp3rion_	92
12	MakeHistory157	67
13	joethahobo	64
14	EveryonesUncle	48
15	ImpavidArcher	45
16	eitanzaki	39
17	Alteriity	37
18	EMC_	30
19	AlexxO_o	24
20	Lez_	19
21	Mahoose	17
22	XxCookiequeenxX	14
23	Blaiku	9
23	Sral7	9
25	Krowuss	7
25	Jimb0nat0r	7
27	luseis	6
27	fluddd	6
29	TheSecondLord	5
30	Nicserso	3
31	Swalt	2
31	Eraxa	2
33	Bandito_Roamer	1
33	Merv__	1
33	Blazebit	1
33	Motsaro	1
33	Di_infiri	1
33	DarlaMeow	1
33	EngagedGrub41	1
33	AdmiralSmoke	1
