rank	username	minecraft:dropped/minecraft:magenta_bed
1	Blu3beast	52
2	SammiWolfGirl	8
3	HellsSponge	3
4	500am	2
4	fluddd	2
4	Kowcio_	2
4	miramyu	2
8	pintsizedrogue	1
8	Bandito_Roamer	1
8	NatalieTW	1
8	burbankbuilder28	1
8	pretty_pink_reno	1
8	TheEnderMan548	1
