rank	username	minecraft:dropped/minecraft:dead_bubble_coral_fan
1	eitanzaki	8
1	noam464	8
3	Lez_	1
3	Onennon	1
3	binman420	1
3	NameGenerat0r	1
3	Spacewardharpy7	1
