rank	username	minecraft:dropped/minecraft:composter
1	noam464	7611
2	catandmoose	2053
3	Jackattack53	988
4	eitanzaki	576
5	thewindmillman	247
6	Hyp3rion_	244
7	emreknugrlu	182
8	EcksD	139
9	Blaiku	113
10	Werbe	104
11	pixelviolin	61
12	Kowcio_	56
13	EdGalbraith	54
14	PigDab	43
15	EMC_	38
16	Blu3beast	35
17	Mahoose	32
18	Groundler	29
19	Alteriity	24
20	F_Uhre	21
20	Lord_Jord	21
20	_Mythic____	21
23	_i_ERROR_i_	20
24	Krowuss	19
25	WET_WET_WET	18
25	Mr_Froxy	18
27	SyntheticSurgeon	16
28	ImpavidArcher	15
28	Reneedium	15
30	mihimihimihi	14
31	FreakGenius	13
32	robertsnose	12
32	77Holly7	12
34	lordpipe	9
34	Yamdalorian	9
36	Fullbit_	8
37	_Virify_	7
37	Studio4x32	7
37	olliebollie48	7
40	PlasticOtari	6
41	q_wq	5
41	Uzbeki_John	5
41	gcaisawesome	5
41	benediktine1	5
41	milltesco	5
41	Snowflowe	5
41	Skylord_Luke	5
41	TwinTowerV2	5
49	joethahobo	4
49	beeperbeeper5	4
49	Vizzoid	4
49	Smashic	4
49	crying_wolf_13	4
49	thescout7	4
49	Dan_Scha	4
49	THEKINGLyric10	4
49	Jimb0nat0r	4
58	PhantomsGhost_	3
58	Merv__	3
58	T045RTY	3
58	akap47	3
58	Rich_Kat	3
58	Secret_Canary	3
58	XboxPanda	3
58	ImDisconnected_	3
58	Di_infiri	3
58	groofles	3
68	shineh10	2
68	I_Am_Mushkin	2
68	RebelAndroid	2
68	livingdaydreams	2
68	Lez_	2
68	Blackberry1310	2
68	DukeBoy1646	2
68	RobotMinion101	2
68	FishyBoy3811	2
68	NomadicRobin_	2
68	Tyrannosplart	2
68	Manaateee	2
68	HellsSponge	2
68	MightyWertu	2
68	ayamefag	2
68	Eraxa	2
68	Luigipunch989	2
68	Nicserso	2
68	LuvLuvLove	2
68	JayToe	2
88	j5ylim	1
88	k_ce	1
88	AmmiDesu	1
88	hollowww	1
88	jspwn	1
88	Frozil20	1
88	diamondgolem35	1
88	Hpdinosaur	1
88	Huwulling	1
88	kerryfull1	1
88	ShedJr_	1
88	gabukun_	1
88	12Magner05	1
88	SteveCraftBlocks	1
88	excelsionprime	1
88	Gingayy	1
88	mwrty	1
88	NotMeanttoChange	1
88	HypixelForums	1
88	ARandomHedge	1
88	brrh	1
88	Kakolbus	1
88	MyNameIsJobo	1
88	Arceus1975	1
88	Solar_Power	1
88	Mr_Sun15	1
88	IamCL4SSY	1
88	That_tech_head	1
88	DTwenty	1
88	EveryonesUncle	1
88	luseis	1
88	Deathkob	1
88	handsome_strong	1
88	JESS_THE_RERE	1
88	cuddlyMonster	1
88	Gus2005	1
88	Racengan	1
88	Warlord324	1
88	Breb74	1
88	Airem_Core	1
88	Synthoum	1
88	Cache3	1
88	Segotep999	1
88	Sheldor097	1
88	LeeMcGee30	1
88	hermmm_	1
88	taengoos	1
88	Ezekson	1
88	ConnorDanky_	1
88	Enderxz3	1
88	jnp_gaming	1
88	vandmanden	1
88	camando92	1
88	FishisTTV	1
