rank	username	minecraft:dropped/minecraft:music_disc_wait
1	HellsSponge	239
2	Blu3beast	110
3	_Bguette_	12
4	Mahoose	7
4	surfinggiraffejp	7
6	ImpavidArcher	6
7	Deodorante	5
8	youhjjhhhjj	4
9	PhantomsGhost_	3
9	Skylord_Luke	3
9	chipklip	3
12	eitanzaki	2
12	H72l9w	2
12	xxPipperDipperxx	2
12	Di_infiri	2
12	ApophisNova	2
12	DemTechAlpha	2
12	YungMaki	2
12	UCP_TheKingK	2
12	MyNamaSheff	2
21	TildaAndrea	1
21	diamondgolem35	1
21	MOSS000	1
21	Da_Boss_Rani	1
21	LoboTheLobster	1
21	ProfessorBee	1
21	slkiey	1
21	set67	1
21	Flapjacker687	1
21	noam464	1
21	Oliver_Frost	1
21	Voxin2K	1
21	Werbe	1
21	RobotMinion101	1
21	CruncyIsTaken	1
21	yulgur1	1
21	Jiminie	1
21	NameGenerat0r	1
21	claivin	1
21	Spacewardharpy7	1
21	sadvavilloso	1
21	Soplight	1
21	lcvezra	1
21	Hermanni__	1
21	MeetTheWollo	1
21	TechnoNinja64	1
21	Sral7	1
21	kinas45y5	1
21	Smoke____	1
