rank	username	minecraft:dropped/minecraft:wooden_sword
1	PlzNoBM	33
2	Deathkob	15
3	Hyp3rion_	14
4	ediballbearings	13
5	Eraxa	9
6	ImpavidArcher	8
6	Alfred603	8
6	Windo_licker	8
9	Chromary	7
9	Akoot_	7
11	rarrq	6
11	Prodiginus	6
11	claivin	6
11	E775	6
15	F_Uhre	5
15	_Karmaa	5
15	fluddd	5
15	__tomato	5
19	Frozil20	4
19	sejekasper1	4
19	Stynxy	4
19	kekhon	4
19	Megarboh	4
19	xxPipperDipperxx	4
19	NomadicRobin_	4
19	FreakGenius	4
19	MustaLoordi	4
19	Chuglyfe	4
19	_Yonk_	4
19	how_are_you	4
19	ConnorDanky_	4
19	h2p_emrld	4
33	hm947	3
33	eitanzaki	3
33	beeperbeeper5	3
33	mwrty	3
33	Rebytre	3
33	Jonte0599	3
33	TheShyPig	3
33	FishyBoy3811	3
33	GoofyBread	3
33	ElectricDragon81	3
33	Soplight	3
33	PortlyPete69	3
33	realSkullFace	3
33	PlasticOtari	3
33	bladeefan2009	3
48	Lepthymo	2
48	_Virify_	2
48	teslawolf38	2
48	Devintronix	2
48	sick_nubs	2
48	TheSecondLord	2
48	Nicky_H225	2
48	Fullut	2
48	Yirtle	2
48	SPUDonSTEROIDS	2
48	Winklepicker279	2
48	gabriels543	2
48	MyNameIsJobo	2
48	AJplaysMC_	2
48	Termi_Qc	2
48	k1ngGilgamesh	2
48	Kouridragon	2
48	epiksk8erduck	2
48	jewbacaman	2
48	sammidk	2
48	LilLizardWizard	2
48	TheTrueClipse	2
48	Lekol	2
48	bothan13	2
48	plato2066	2
48	xzvu	2
48	Poppy235	2
48	Moetis	2
48	DennyKai	2
48	Soffbord	2
48	EngagedGrub41	2
48	00000000-0000-0000-0009-01f16526f034	2
80	MunkaKris	1
80	Jovaphobic	1
80	Thaumatarge	1
80	cletemo	1
80	HazyDrummer	1
80	Ganongeek	1
80	RoskobiOne	1
80	SmashingPump	1
80	Merv__	1
80	Mocha_Mug	1
80	DepressedCubic	1
80	Tommhh	1
80	6king6colt6	1
80	Kegradigm	1
80	ergoalias	1
80	Lisppp	1
80	CryoInferno_	1
80	SaucyDark	1
80	RebelAndroid	1
80	T045RTY	1
80	Batman922	1
80	Seyaboy	1
80	ivorico	1
80	Mahoose	1
80	PhantomBionic	1
80	Stright_	1
80	QuiCreans	1
80	Ssor69	1
80	ChampPog_	1
80	heckface	1
80	NieToksikpl	1
80	firesgal3116	1
80	StanceTB	1
80	rpmm	1
80	Master_Kol	1
80	set67	1
80	_Kosovo_	1
80	_Magdo_	1
80	Irko	1
80	Mewar	1
80	ROY4LE	1
80	__TheNorseMan__	1
80	Cerbric	1
80	hcb238	1
80	Kreany	1
80	brrh	1
80	benediktine1	1
80	DermeinUser	1
80	thebluehippo	1
80	BlueZabu	1
80	ImDisconnected_	1
80	Marbz_	1
80	Ahketen	1
80	Di_infiri	1
80	Jackattack53	1
80	Lil_Breadboy	1
80	vampgey	1
80	chank_	1
80	FlashingDemon	1
80	BusinesManFrecks	1
80	XNL	1
80	kars0n	1
80	Azmodan_246	1
80	Nickitoe	1
80	Chuvacevedo	1
80	RohnJosin	1
80	Afinnity	1
80	DeeDeeThonk	1
80	iElijah	1
80	Kynigito	1
80	XeroByMyth	1
80	TragicHero27	1
80	aa2x_	1
80	groofles	1
80	HoldThatPee	1
80	IamCL4SSY	1
80	Lord_Jord	1
80	fw3xywashere	1
80	Blenderyoda	1
80	yulgur1	1
80	Lord_Zacler	1
80	DTwenty	1
80	ese_wn_po	1
80	NYJ	1
80	_Bguette_	1
80	dreamerasot	1
80	HellsSponge	1
80	NameGenerat0r	1
80	_Sir_Leon_	1
80	CatchmyGrenade28	1
80	marumochis	1
80	Universz	1
80	ConJaBz	1
80	Blaiku	1
80	_k2x	1
80	Toriankel	1
80	SkateboardR6	1
80	cytotoxaint	1
80	Spacewardharpy7	1
80	TheTommyGun63	1
80	bndo	1
80	RoytheBoye	1
80	IAmTheWalrus910	1
80	LetsDoItLive	1
80	ItsDeltaMC	1
80	Meeerkat	1
80	bloomkieren	1
80	YungMaki	1
80	RealGroot	1
80	_TCARREIRA_	1
80	ARCTICxLORD	1
80	obzii	1
80	Ir0npack	1
80	will2690	1
80	Njensen7	1
80	BloxyReality	1
80	Vellu21	1
80	Kubeusz2010	1
80	Skippeh	1
80	xorompole	1
80	Ezekson	1
80	EcksD	1
80	mountaingirl311	1
80	JasmineGK	1
80	Sral7	1
80	CrazyPotater	1
80	IronicUwU1	1
80	00000000-0000-0000-0009-01f073f37a91	1
