rank	username	minecraft:dropped/minecraft:light_gray_banner
1	ECstardust	10
2	pintsizedrogue	5
2	AdmiralSmoke	5
4	Lez_	4
5	beeperbeeper5	3
5	HellsSponge	3
5	Xclax101	3
8	Mr_Byzantine	2
8	Krowuss	2
10	LionelHutzESQ	1
10	Mahoose	1
10	SquadMonster	1
10	kekhon	1
10	500am	1
10	hanaryheatwave	1
10	Dogcorn69420	1
10	Legendosh	1
10	PlasticOtari	1
