rank	username	minecraft:dropped/minecraft:birch_fence_gate
1	500am	130
2	noam464	51
3	IamCL4SSY	50
4	eitanzaki	28
5	AlexxO_o	26
6	lordpipe	21
7	pintsizedrogue	19
8	mihimihimihi	17
9	taengoos	12
10	Cowison	8
11	Comma__	6
11	_Cloverbelle_	6
11	Akoot_	6
14	Kynigito	5
14	IAmTheWalrus910	5
16	Werbe	4
16	TheWickedBird	4
18	Lez_	3
18	thewindmillman	3
18	Onennon	3
18	cutelilreno	3
18	Nicserso	3
18	Spaghettatron	3
24	kekhon	2
24	Buuck_	2
24	Soplight	2
24	jcool7	2
24	cichy096	2
24	FelixPSY375	2
24	UrbanPlanningEx	2
31	Mahoose	1
31	rarrq	1
31	SoftSix	1
31	GingerNeutron	1
31	thescout7	1
31	Jackattack53	1
31	Malware_Mara	1
31	Arceus1975	1
31	oscminus	1
31	Mattesco	1
31	Tyrannosplart	1
31	Meatlaugh	1
31	Shogunite	1
31	claivin	1
31	E775	1
31	Spacewardharpy7	1
31	JosephCW	1
31	djancak	1
31	Ezekson	1
31	EcksD	1
31	Yamdalorian	1
