rank	username	minecraft:dropped/minecraft:glow_item_frame
1	thewindmillman	5611
2	Hyp3rion_	289
3	Kowcio_	158
4	Lez_	77
5	_i_ERROR_i_	57
6	pintsizedrogue	56
7	Jackattack53	24
8	Huwulling	22
9	Marbz_	21
10	Secret_Canary	19
11	beeperbeeper5	16
12	EMC_	15
13	Spacewardharpy7	13
14	Deu_Stew	10
15	Segotep999	9
16	Mahoose	7
17	Luminad3	5
18	StarCookiees_	4
19	DenizSmille	2
19	Mattesco	2
19	lordpipe	2
19	SamTheDwagon	2
23	SoosAmongus	1
23	ECstardust	1
23	q_wq	1
23	joethahobo	1
23	Inchef	1
23	hanaryheatwave	1
23	Manaateee	1
23	weabis	1
23	mihimihimihi	1
23	Spenduh	1
23	xolstoi	1
