rank	username	minecraft:dropped/minecraft:wooden_hoe
1	rarrq	215
2	MovingFish7	65
3	Cryptacity	52
4	Spacewardharpy7	16
5	Sleepy_Time_	7
6	eitanzaki	6
6	beeperbeeper5	6
6	Jackattack53	6
6	Akoot_	6
6	Blu3beast	6
6	Groundler	6
12	Wowful	5
12	THEKINGLyric10	5
14	XboxPanda	4
14	EveryonesUncle	4
14	Racengan	4
14	xolstoi	4
14	AdmiralSmoke	4
19	ItzYaBoiPicard	3
19	YungMaki	3
19	Segotep999	3
19	Goat_Man512	3
23	pintsizedrogue	2
23	I_Am_Mushkin	2
23	Historical_Sand	2
23	Malorn_Aetherius	2
23	Blackberry1310	2
23	DarkFisto	2
23	SHAOBADMAN	2
23	PeteO1995	2
23	wTXop	2
23	Fast_Turtle	2
23	Hiryu27	2
23	CaptainAvenger7	2
23	ReSynced	2
23	DTwenty	2
23	QuacksonThe3rd	2
23	lordpipe	2
23	TheTommyGun63	2
23	IdeallyGrey	2
23	Kowcio_	2
23	Nicserso	2
23	little_dUki	2
44	_Huge_Male_	1
44	Ilinca_Io	1
44	Frozil20	1
44	ImpavidArcher	1
44	CryoInferno_	1
44	AES784	1
44	RebelAndroid	1
44	Franco093	1
44	Mahoose	1
44	ITDV	1
44	joethahobo	1
44	H72l9w	1
44	heckface	1
44	Otto_chan	1
44	12Magner05	1
44	ProfessorBee	1
44	SteveCraftBlocks	1
44	Fullut	1
44	_Minnty_	1
44	sandmire	1
44	_Banjo_1	1
44	set67	1
44	UnderKat	1
44	Motsaro	1
44	Covalents	1
44	benediktine1	1
44	UncleDanDan	1
44	M_Patata	1
44	Crasswolf	1
44	ImDisconnected_	1
44	BigMoneyH	1
44	thewindmillman	1
44	Hyp3rion_	1
44	AnnieBathory	1
44	CrateOfBoxes	1
44	Skylord_Luke	1
44	ApophisNova	1
44	Werbe	1
44	Btabtab	1
44	Onennon	1
44	Shiirazu	1
44	AlexxO_o	1
44	TheShyPig	1
44	IamCL4SSY	1
44	GooseWithin	1
44	Lord_Jord	1
44	gustarlep	1
44	Lord_Zacler	1
44	luseis	1
44	lillips	1
44	Shogunite	1
44	Jamstroxian	1
44	El_Jalapeno	1
44	censorsheep	1
44	fluddd	1
44	LokisCharredFace	1
44	__Auspicious	1
44	Vegvisir	1
44	mihimihimihi	1
44	MasterNueve	1
44	IAmTheWalrus910	1
44	LordSpeed37	1
44	Eraxa	1
44	djancak	1
44	Soplight	1
44	SSytex_X	1
44	Luigipunch989	1
44	non089	1
44	PortlyPete69	1
44	ProbsNotNova	1
44	monolu	1
44	alderban107	1
44	MyNamaSheff	1
44	calamariclam_I	1
44	FishisTTV	1
