rank	username	minecraft:dropped/minecraft:emerald
1	thewindmillman	618534
2	Hyp3rion_	484026
3	Fuad_R	128159
4	Spacewardharpy7	60821
5	Frozil20	36435
6	noam464	26702
7	EcksD	15887
8	Segotep999	5260
9	eitanzaki	4578
10	Lez_	4522
11	TechnoNinja64	4040
12	beeperbeeper5	3713
13	Smashic	2916
14	Inbefour	2333
15	AdmiralSmoke	1434
16	Blaiku	1300
17	ConnorDanky_	1054
18	Huwulling	1024
19	PigDab	1009
20	Soplight	932
21	lordpipe	905
22	fw3xy74	852
23	Jackattack53	821
24	kekhon	789
25	FreakGenius	771
26	Krowuss	768
27	asspharte	661
28	diamondgolem35	573
29	Bonzaidalek	567
30	Akoot_	560
31	Alteriity	555
32	Mahoose	509
33	joethahobo	501
33	FishisTTV	501
35	Fullut	495
36	TheSecondLord	438
36	thescout7	438
38	Merv__	432
39	IamCL4SSY	405
40	Sral7	369
41	Kowcio_	361
42	pixelviolin	355
43	SlothInASuit	331
44	Bonkal	318
45	Tyrannosplart	313
46	Werbe	306
47	luseis	299
48	lorpus	291
49	StarCookiees_	290
50	Kakolbus	258
51	Crowman1	256
52	Steelynan	248
53	rarrq	245
54	_Mythic____	240
55	NotMeanttoChange	236
56	Skippeh	228
57	Groovy_MoonBird	223
58	tlustyCZARNY	208
59	lillips	204
60	xzvu	197
61	EMC_	179
62	Di_infiri	168
63	burbankbuilder28	164
64	Lord_Jord	163
65	YungMaki	157
66	ECstardust	153
67	Skylord_Luke	152
68	UCP_TheKingK	151
69	H0UNDFRMH3LL	147
70	TheImperial	145
71	stavgod	140
72	fluddd	135
73	h2p_emrld	134
74	himak1	133
75	LeonelSalamanca	131
76	bloodbiter	130
77	Chickenchaser2	129
77	Eraxa	129
79	Kekoo	128
80	12Magner05	124
81	Auseawesome	118
82	SmashingPump	109
83	Quaintster	104
84	Xalithia	100
85	HellsSponge	99
86	ShedJr_	98
86	F_Uhre	98
88	HolyVenom	97
89	Nicserso	93
90	John6970	90
90	Karetoko	90
92	Da_Boss_Rani	87
93	gcaisawesome	86
94	Blu3beast	83
95	TheBananaKat	82
96	I_Am_Mushkin	77
97	Rebytre	75
98	Comma__	73
99	NotKaden_	72
100	ImpavidArcher	69
101	Apollo_993	68
101	Luminad3	68
101	Soap_Bender	68
101	Racengan	68
105	Iamthejo	67
106	Jjackoe	66
107	SpacesickPrism	65
108	ProfessorBee	64
108	WET_WET_WET	64
108	Zythose	64
108	Voxin2K	64
108	TheShyPig	64
113	ougstur	62
113	stellarjay	62
115	yheece	60
116	NomadicRobin_	59
117	The_slideV3	58
118	ZaneABrain	57
118	ApophisNova	57
118	AlexxO_o	57
118	MyNamaSheff	57
122	TiborSterle	56
123	PlasticOtari	54
124	Jimb0nat0r	53
125	sp00ky_ghost977	52
125	Dogcorn69420	52
127	TJawesome09	51
128	Chromary	47
128	Bumpy419	47
130	KarlKaek	45
131	Archsam	44
131	SteveCraftBlocks	44
133	bigstankyy	42
133	Frxnkz	42
133	Zoeyfortnite	42
133	xolstoi	42
137	KomputerDude	40
138	Deodorante	38
139	m_be9	36
140	ROY4LE	34
140	__tomato	34
142	set67	33
143	smogfrog	32
144	dabloons	30
144	teslawolf38	30
146	PhantomsGhost_	29
146	G1ldor	29
148	RebelAndroid	27
148	ProbsNotNova	27
150	BoraMC	26
150	TAKrules	26
150	Fast_Turtle	26
150	MakeHistory157	26
150	TheOuterCore	26
150	AltnumberF4	26
156	Hpdinosaur	25
156	Ozixar	25
156	TheWildMateo	25
156	El_Jalapeno	25
156	Kubeusz2010	25
161	Bandito_Roamer	24
161	insanepace	24
163	MixerDixer	23
163	thgrocks	23
163	KermitTheKripple	23
163	NameGenerat0r	23
163	mihimihimihi	23
163	bruh072	23
163	sadvavilloso	23
163	JayToe	23
171	funeralhome	21
171	T045RTY	21
171	Historical_Sand	21
171	titanlax	21
171	EfficientC52	21
171	SammiWolfGirl	21
177	Rasmanden	20
177	Hisiste	20
177	_i_ERROR_i_	20
177	Ezekson	20
181	Snowflowe	19
181	Onennon	19
183	q_wq	18
183	XboxPanda	18
183	MousePlays	18
183	starbits140	18
183	lcvezra	18
183	jcool7	18
183	skrongus	18
190	Arceus1975	17
190	The_Cruncy	17
190	Xclax101	17
190	Biites	17
194	Stynxy	16
194	Dan_Scha	16
194	MineMaster0012	16
194	KingMatthew506	16
194	HesDemonPants	16
199	Iagoku	15
199	jessewegottacook	15
199	Blackberry1310	15
199	EveryonesUncle	15
199	Manaateee	15
199	Luigipunch989	15
199	obzii	15
206	theofiel	14
207	Flores991	13
208	MC_Gamer_Geek	12
208	r123moore	12
208	Nyxiom_	12
208	Wowful	12
208	ebanana	12
208	Enderxz3	12
208	vandmanden	12
208	561cool	12
216	SaucyDark	11
216	MinttyFressh	11
216	emrekn	11
216	Deathkob	11
220	_Virify_	10
220	Mr_Byzantine	10
220	SoosAmongus	10
220	boog4loo	10
220	crying_wolf_13	10
220	MovingFish7	10
226	seanitoo	9
226	NatalieTW	9
226	elicobnoah	9
226	jushykins	9
226	hanaryheatwave	9
226	NATE_the_HALO	9
226	Powowowow	9
233	Tommhh	8
233	6king6colt6	8
233	SquadMonster	8
233	TheThomas69	8
233	Dali1465	8
233	Ecplosive	8
233	0Vyp_	8
233	IdeallyGrey	8
233	Pundehoo	8
233	Hermanni__	8
233	FelixPSY375	8
233	jnp_gaming	8
233	WYFYoyo	8
246	CLG_Kata	7
246	youhjjhhhjj	7
246	UncreativeArtist	7
246	fr_ser	7
246	Yahir091	7
246	BuildTheGondola	7
246	PortlyPete69	7
246	Sheldor097	7
246	alderban107	7
246	trexgb	7
246	Faart	7
257	peachfuzz1267	6
257	AuroraValkyrie	6
257	BlancoFlaco	6
257	Natty	6
257	arcanemagic	6
257	Aneurysmas	6
257	AmbroseForLife	6
257	pappaberg	6
257	HAIRYCLOUD626	6
257	HAPPYfaceO1	6
257	_Meow_Mix	6
257	IAmTheWalrus910	6
257	FGamerJ	6
257	LiquidFenrir	6
271	CueMix	5
271	PhantomBionic	5
271	Michaelelelelele	5
271	uhm__okay	5
271	oscminus	5
271	masskedman	5
271	_Karmaa	5
271	ItsJunoIGuess	5
271	K_a__a_n	5
271	cichy096	5
271	00000000-0000-0000-0009-01ff0c3e5e4f	5
282	TheBiggestFeller	4
282	Ryan_GEMS	4
282	Myszoaz	4
282	Rich_Kat	4
282	500am	4
282	Inchef	4
282	WhosJPG	4
282	Corbsman	4
282	seramalen	4
282	Mattesco	4
282	Dabatha	4
282	fkGrim	4
282	CheifJumbo	4
282	LordSpeed37	4
282	kyouma777	4
282	Kyrum2169	4
282	Spenduh	4
282	OfficerAnvil	4
300	Ze1ig	3
