rank	username	minecraft:dropped/minecraft:granite_wall
1	Jackattack53	384
2	Kowcio_	32
3	lordpipe	30
4	TheWildMateo	20
5	AlphaWolfPlaysMC	11
6	eitanzaki	8
7	EcksD	5
8	jewbacaman	4
9	DarlaMeow	3
9	Steelynan	3
9	TechnoNinja64	3
12	Merv__	2
12	beeperbeeper5	2
12	thescout7	2
15	noam464	1
15	DC_XII	1
15	CuzIm2Kev	1
