rank	username	minecraft:dropped/minecraft:chainmail_boots
1	joethahobo	41
2	Drlzyy	25
3	noam464	24
3	PigDab	24
5	thewindmillman	19
6	beeperbeeper5	18
7	Werbe	17
8	Mahoose	12
8	Freak_Genius	12
10	Hyp3rion_	11
10	Luigipunch989	11
12	lordpipe	9
13	CoffeeNoir	8
13	500am	8
13	Arceus1975	8
16	Blackberry1310	7
16	Frozil12	7
16	Segotep999	7
16	TechnoNinja64	7
20	Merv__	6
20	burbankbuilder28	6
20	chipklip	6
23	RebelAndroid	5
23	eitanzaki	5
23	thescout7	5
23	Akoot_	5
23	JESS_THE_RERE	5
23	PlasticOtari	5
29	Jovaphobic	4
29	Historical_Sand	4
29	gcaisawesome	4
29	Di_infiri	4
29	EveryonesUncle	4
29	Xclax101	4
29	Blaiku	4
29	Racengan	4
29	Smoke____	4
38	Cowison	3
38	livingdaydreams	3
38	TheSecondLord	3
38	mwrty	3
38	fr_ser	3
38	RobotMinion101	3
38	seramalen	3
38	DemTechAlpha	3
38	Deerfoot	3
38	El_Jalapeno	3
38	SvenskaHugo	3
38	YungMaki	3
38	djancak	3
38	Ezekson	3
52	_stets	2
52	EMC_	2
52	ImpavidArcher	2
52	Ryker	2
52	Swexti	2
52	Nicky_H225	2
52	Fullut	2
52	Kkanot	2
52	Septemb3r	2
52	mimbo1211	2
52	M_Patata	2
52	Winklepicker279	2
52	Snowflowe	2
52	Zythose	2
52	Rebytre	2
52	Onennon	2
52	PuFY	2
52	Maenara	2
52	NomadicRobin_	2
52	FreddyFart	2
52	HellsSponge	2
52	NameGenerat0r	2
52	Quaintster	2
52	Barlycorn	2
52	monky_irl	2
52	MasterNueve	2
52	stavgod	2
52	TheEnderman548	2
52	07shiny	2
52	lcvezra	2
52	Miko_Fullbuster	2
52	Enderslayerxz3	2
52	h2p_emrld	2
85	SugarMyNuggets	1
85	pintsizedrogue	1
85	TildaAndrea	1
85	q_wq	1
85	Begformurrcy	1
85	Flores991	1
85	Incinere	1
85	Jahara	1
85	TAKrules	1
85	KomputerDude	1
85	ShedJr_	1
85	SquadMonster	1
85	TheFlfthHorseman	1
85	rarrq	1
85	jacxhadow	1
85	kekhon	1
85	SoftSix	1
85	Allanon1235	1
85	AngalexikCZ	1
85	crying_wolf_13	1
85	Kamflame10	1
85	set67	1
85	egglapras	1
85	IforgotCS_Source	1
85	eviltunix	1
85	ROY4LE	1
85	r123moore	1
85	funnyblitz123	1
85	Kakolbus	1
85	Bumpy419	1
85	Skylord_Luke	1
85	selectrix	1
85	SvenskaAlvar	1
85	_naturell	1
85	FishyBoy3811	1
85	ToastedGamingYT	1
85	Rasmanden	1
85	ogoa	1
85	Joestra	1
85	Jiminie	1
85	wobn	1
85	lillips	1
85	The_Quack_Dealer	1
85	DarlaMeow	1
85	censorsheep	1
85	fluddd	1
85	MightyWertu	1
85	DeGodz4life	1
85	Fildyr	1
85	Spacewardharpy7	1
85	g0rr1lla	1
85	Eraxa	1
85	Decaying_Lotus	1
85	pixelviolin	1
85	Kowcio_	1
85	UCP_TheKingK	1
85	Spenduh	1
85	SammiWolfGirl	1
85	Nargotah	1
85	MilleGrug	1
85	Njensen7	1
85	oxfordschool	1
85	Quotary	1
85	jnp_gaming	1
85	MeetTheWollo	1
85	EcksDofficial	1
