rank	username	minecraft:dropped/minecraft:gold_ingot
1	Hyp3rion_	17596002
2	EcksD	1877865
3	thewindmillman	1789081
4	Jackattack53	1775200
5	hanaryheatwave	1381289
6	noam464	458043
7	mihimihimihi	172845
8	PigDab	83115
9	eitanzaki	44108
10	oscminus	29975
11	Spacewardharpy7	24937
12	Kowcio_	22847
13	_Mythic____	18229
14	ImpavidArcher	7996
15	Frozil20	7119
16	Blaiku	4379
17	mwrty	4203
18	emreknugrlu	3598
19	YungMaki	2276
20	Soplight	1668
21	12Magner05	1191
22	diggydog67	1068
23	luseis	943
24	Segotep999	908
25	TechnoNinja64	847
26	Huwulling	783
27	Lez_	741
28	Groundler	700
29	PhantomsGhost_	692
30	Eraxa	674
31	NATE_the_HALO	645
32	zToasty69z	632
33	Winklepicker279	596
34	Archsam	544
35	Yamdalorian	498
36	StarCookiees_	482
37	Lord_Jord	469
38	Manaateee	468
39	Bonkal	432
40	MightyWertu	421
41	beeperbeeper5	419
42	lordpipe	406
43	ConnorDanky_	404
44	Enderxz3	400
45	TheSecondLord	385
46	abdomera	384
47	Smashic	339
48	ECstardust	327
49	annebolyn	323
50	TheBananaKat	321
51	Tyrannosplart	320
51	Spenduh	320
53	wwwwinnebagoooo	307
54	Ezekson	297
55	lotarp	291
56	Jimb0nat0r	274
57	Alteriity	272
58	MovingFish7	259
59	Creativebuilder2	257
60	Warlord324	251
61	AltnumberF4	249
62	SvenskaHugo	247
63	Scathra	228
64	Marbz_	226
65	WyngGoy	217
66	CliffEmAll	215
67	SlayerCrypto	213
68	MilleGrug	197
69	Di_infiri	196
70	Guillemet	192
70	krutas2000	192
72	Racengan	189
73	stevewithclout	188
74	NomadicRobin_	187
75	excelsionprime	185
75	Luigipunch989	185
77	Groovy_MoonBird	184
78	MakeHistory157	179
79	fffMike	171
80	lorpus	170
81	00000000-0000-0000-0009-01ff0c3e5e4f	169
82	joethahobo	166
83	ApophisNova	159
83	MyNamaSheff	159
85	BadenStayFly	152
85	masskedman	152
87	Fullut	149
87	33sudo	149
89	HellsSponge	147
90	Soap_Bender	141
91	RebelAndroid	136
92	Comma__	133
93	CLG_Kata	131
93	vandmanden	131
95	shineh10	130
95	kekhon	130
95	__TheNorseMan__	130
95	Nicserso	130
99	_i_ERROR_i_	128
100	PhantomBionic	125
101	pintsizedrogue	118
102	Pumpkin_P_Patch	113
103	hm947	112
104	YairZaki	111
105	Skylord_Luke	109
105	Elastiq	109
105	Hisiste	109
108	skitzxo	107
109	SmashingPump	106
110	HolyVenom	103
111	k1ngGilgamesh	101
112	Slavisaa	99
112	censorsheep	99
112	Kyrum2169	99
115	Awyrlas	98
116	r123moore	91
117	Gryglu583	89
117	Dogcorn69420	89
119	surfinggiraffejp	88
120	diamondgolem35	87
120	FreakGenius	87
122	ProbsNotNova	86
123	Blackberry1310	85
124	DanTheBuilderino	82
124	LazySupport00	82
126	Blu3beast	81
127	k_ce	80
128	jewbacaman	79
129	legal_tax_evader	78
130	F_Uhre	76
130	SammiWolfGirl	76
132	MattieHD	75
133	Bandito_Roamer	74
134	6king6colt6	73
135	Zythose	71
136	Sleek_Storm_721	70
137	i2f8x4h8ro	69
137	yheece	69
137	CalebDHawk	69
140	Zee_zey	68
141	Akoot_	66
141	taengoos	66
143	KarlKaek	64
143	NinjaKnifeKill	64
143	TheDankPlatypus	64
143	HyperCave	64
143	epiksk8erduck	64
143	cedric72	64
143	HelloIamSora	64
150	Cowison	63
151	_Virify_	61
152	_Huge_Male_	60
152	_Nuf	60
152	ougstur	60
152	GravitySaint	60
156	thescout7	59
157	bloodbiter	58
157	_Meow_Mix	58
159	whoaluv	56
160	AuroraSkies	54
160	Skippeh	54
162	Legendosh	53
163	FishisTTV	51
164	KermitTheKripple	50
165	XboxPanda	49
166	BPTY4618	48
166	PazinGaming	48
166	Secret_Canary	48
166	Arceus1975	48
166	athereall	48
171	Mahoose	47
171	RebytreGT	47
173	Flores991	45
173	fw3xy74	45
175	I_Am_Mushkin	44
175	rarrq	44
175	set67	44
175	mariominejedi	44
175	Fuad_R	44
180	arcanemagic	43
181	500am	42
181	RobotMinion101	42
183	prizm_	41
183	Cocoamallows	41
185	chipklip	40
185	livingdaydreams	40
185	WET_WET_WET	40
188	Travasaur	39
188	Saltymart	39
190	JitteryJared2	38
190	Luminad3	38
190	OfficerAnvil	38
193	fluddd	37
194	ganyuganyu	36
194	himak1	36
194	TheWickedBird	36
197	Kakolbus	35
198	TJawesome09	34
199	H0UNDFRMH3LL	33
199	ShedJr_	33
201	Tolhart	32
201	FirsTimeGamingTV	32
201	Iamthejo	32
204	Tiberonus	31
205	Master_Kol	30
205	_Magdo_	30
205	JMK208	30
205	Quaintster	30
205	Synthoum	30
205	Powowowow	30
211	Ilinca_Io	29
211	Saucepeh	29
211	Rich_Kat	29
211	OreTheBear	29
215	goldyx	28
215	_TCARREIRA_	28
215	WYFYoyo	28
218	lorywithay	27
218	cyrusisntgay	27
218	ItsJunoIGuess	27
218	PlasticOtari	27
222	Gingayy	26
223	77Holly7	24
223	Auseawesome	24
223	Kubeusz2010	24
226	_Razaria	23
226	DarkDescent2392	23
226	ROY4LE	23
226	wTXop	23
226	TheShyPig	23
231	Vizzoid	22
231	Hydro___________	22
231	CaptainDeadBread	22
234	T045RTY	21
234	Historical_Sand	21
234	Chromary	21
234	Bongo_Drums_	21
234	Moofyman	21
234	BRRRN179	21
234	xzvu	21
241	corvidpartyfor6	20
241	Dali1465	20
241	AspenLightVT	20
241	pixelviolin	20
245	funeralhome	19
245	bugrq_	19
245	Bumpy419	19
245	Xclax101	19
249	seanitoo	18
249	nitram49b	18
249	podduszenie	18
249	Hahaa_0	18
249	_Karmaa	18
249	claivin	18
249	laron58	18
256	NameGenerat0r	17
256	jnp_gaming	17
256	2blox_	17
259	tuckerdoodle	16
259	MSK__	16
259	teqilas	16
259	AnnieBathory	16
259	Juh1s	16
259	Winston_Ingram	16
265	Ninzyyy	15
265	_8man	15
265	elliebelle107	15
268	Gregward_Smith	14
268	jacxhadow	14
268	weabis	14
268	Toriankel	14
268	airbkane	14
268	Faart	14
274	ZaneABrain	13
274	eviltunix	13
274	ReverendSmith	13
274	501g	13
274	blackeemperor	13
274	Kukkelikuk	13
274	obzii	13
274	cichy096	13
282	Merv__	12
282	myaccountwasgone	12
282	BlancoFlaco	12
282	HoltGrim	12
282	Gloomspect	12
282	LeEricc	12
282	Heisenbberrg	12
282	LeeMcGee30	12
282	Zoeyfortnite	12
291	Da_Boss_Rani	11
291	jushykins	11
291	gcaisawesome	11
291	ARandomHedge	11
291	CollinMH06	11
291	Snowflowe	11
291	Werbe	11
291	the_russell1611	11
299	EMC_	10
299	Masssonnn	10
