rank	username	minecraft:dropped/minecraft:nether_brick_stairs
1	Frozil20	165
2	eitanzaki	98
3	Groovy_MoonBird	31
4	Racengan	26
5	_Nuf	23
6	Blaiku	22
7	beeperbeeper5	19
8	Blackberry1310	16
9	YungMaki	15
10	Spacewardharpy7	12
11	Deathkob	10
12	Ssor69	9
12	BobDeBouwer1337	9
12	Bumpy419	9
15	HellsSponge	8
15	djancak	8
17	mwrty	7
18	SaintJosie	6
18	EveryonesUncle	6
18	Sral7	6
21	Kyrum2169	5
22	Lez_	4
22	mattybeewrapss	4
22	Hyp3rion_	4
22	LazySupport00	4
26	burbankbuilder28	3
26	AlphaWolfPlaysMC	3
26	El_Jalapeno	3
29	Wolf_Mauler_73	2
29	Mahoose	2
29	Prismyst	2
29	TheSecondLord	2
29	m_be9	2
29	surfinggiraffejp	2
29	Jackattack53	2
29	Rebytre	2
29	RobotMinion101	2
29	ebanana	2
29	lordpipe	2
29	stellarjay	2
41	TheBiggestFeller	1
41	bigstankyy	1
41	Sabby65	1
41	Swexti	1
41	Secret_Canary	1
41	Kamflame10	1
41	Freeman666	1
41	Di_infiri	1
41	Nicky19	1
41	Lord_Jord	1
41	fkGrim	1
41	aruzs	1
41	Quincannon	1
41	FreakGenius	1
41	Nycteus_	1
41	Eraxa	1
41	Segotep999	1
41	SSytex_X	1
41	PortlyPete69	1
41	jcool7	1
41	Enderxz3	1
41	vandmanden	1
