rank	username	minecraft:dropped/minecraft:jungle_boat
1	noam464	100
2	Hyp3rion_	43
3	lordpipe	19
4	Blu3beast	16
5	John6970	11
5	Soplight	11
7	_Nuf	10
7	mwrty	10
7	fluddd	10
10	_Virify_	9
10	beeperbeeper5	9
10	Blackberry1310	9
13	Mahoose	8
13	Racengan	8
13	MovingFish7	8
13	xzvu	8
13	TechnoNinja64	8
18	kekhon	7
18	Werbe	7
18	EveryonesUncle	7
21	eviltunix	6
21	Onennon	6
21	Tyrannosplart	6
21	Fuad_R	6
25	Groovy_MoonBird	5
25	eitanzaki	5
25	Euclidoris	5
25	Comma__	5
25	Doom_melon	5
25	NameGenerat0r	5
25	gusstationwerker	5
32	Lisppp	4
32	rarrq	4
32	redikul	4
32	Di_infiri	4
32	Jackattack53	4
32	WET_WET_WET	4
32	pappaberg	4
32	Lord_Jord	4
32	Katthaj	4
32	HellsSponge	4
32	FreakGenius	4
32	EcksD	4
44	Merv__	3
44	q_wq	3
44	ImpavidArcher	3
44	Hpdinosaur	3
44	SteveCraftBlocks	3
44	thescout7	3
44	ROY4LE	3
44	Kakolbus	3
44	Zythose	3
44	RobotMinion101	3
44	ougstur	3
44	THEKINGLyric10	3
44	Eraxa	3
44	ThisUserIsStump	3
44	Ezekson	3
44	Zoeyfortnite	3
60	NatalieTW	2
60	Frozil20	2
60	KarlKaek	2
60	F0mpel	2
60	peach0s	2
60	TheSecondLord	2
60	Rich_Kat	2
60	12Magner05	2
60	_Dean_123	2
60	Fullut	2
60	Kamflame10	2
60	Xalithia	2
60	Useless_Relic	2
60	SamZombie	2
60	andy_rex	2
60	RyuNeko932000	2
60	Maenara	2
60	NomadicRobin_	2
60	_Bguette_	2
60	Ragnar2105	2
60	MightyWertu	2
60	Blaiku	2
60	YungMaki	2
60	AssFullaCum	2
60	ediballbearings	2
60	PortlyPete69	2
60	Kferno	2
60	Steelynan	2
60	erkada	2
60	bladeefan2009	2
90	pintsizedrogue	1
90	Bandito_Roamer	1
90	JohnnyFyes	1
90	PhantomsGhost_	1
90	Harotio	1
90	ImNotYuqii	1
90	Esme_1	1
90	SaucyDark	1
90	hm947	1
90	jimintyy	1
90	T045RTY	1
90	Alteriity	1
90	ZaneABrain	1
90	joethahobo	1
90	m_be9	1
90	500am	1
90	paranoid_plant	1
90	lorpus	1
90	Cellcorgi649	1
90	xxPipperDipperxx	1
90	Diavri	1
90	gcaisawesome	1
90	Winklepicker279	1
90	legal_tax_evader	1
90	fr_ser	1
90	Rumpletaezer	1
90	Arceus1975	1
90	thewindmillman	1
90	Charmyboi	1
90	Azmodan_246	1
90	BronkerBrum	1
90	Voxin2K	1
90	ApophisNova	1
90	The11thDoctor	1
90	ooga47	1
90	Matyyy15	1
90	PigDab	1
90	Hiimdeath	1
90	aec9	1
90	FishyBoy3811	1
90	Akoot_	1
90	Inbefour	1
90	luseis	1
90	Deathkob	1
90	Babushka0430	1
90	Meatlaugh	1
90	MyNameIsDakar	1
90	DarlaMeow	1
90	claivin	1
90	Quaintster	1
90	rezi	1
90	_k2x	1
90	Spacewardharpy7	1
90	SevenMELIODAS	1
90	07shiny	1
90	Kowcio_	1
90	Kyrum2169	1
90	Siguy__	1
90	__tomato	1
90	DontHaveKick	1
90	lcvezra	1
90	_Yonk_	1
90	obzii	1
90	jcool7	1
90	alderban107	1
90	ZoomieZoomie	1
90	Chihuahua_Fan	1
90	mobunni	1
90	Skippeh	1
90	Lord_Lollo	1
90	MyNamaSheff	1
90	HesDemonPants	1
90	jnp_gaming	1
90	Sral7	1
90	Jordan_R	1
90	aao001	1
