rank	username	minecraft:dropped/minecraft:redstone_ore
1	noam464	5937
2	EcksD	2701
3	Werbe	1790
4	thewindmillman	1745
5	AssEatrAndLicker	1660
6	PigDab	1291
7	Spacewardharpy7	1219
8	gcaisawesome	1155
9	YungMaki	774
10	Ezekson	660
11	Blaiku	655
12	eitanzaki	568
13	Hisiste	434
14	joethahobo	402
15	beeperbeeper5	318
16	Di_infiri	245
17	awesomeoneme	213
18	SammiWolfGirl	196
19	lordpipe	174
20	Hyp3rion_	163
21	PhantomsGhost_	152
22	Mahoose	151
23	HellsSponge	143
24	NameGenerat0r	134
25	thescout7	124
26	FelixPSY375	112
27	_Virify_	109
28	Z3braYTIL	107
29	stahouo	102
30	Fullut	98
31	kekhon	90
32	500am	86
33	_Dean_123	81
34	EveryonesUncle	75
35	Skippeh	74
36	Inchef	70
36	Skylord_Luke	70
36	Njensen7	70
39	I_Am_Mushkin	66
39	ShedJr_	66
39	Akoot_	66
42	Ailmast	64
42	fr0stss	64
44	Blackberry1310	57
45	JEWISHBadenBeele	56
46	GlitchyPlate810	54
47	Zoeyfortnite	46
48	WET_WET_WET	44
49	ZoharGoldMine	43
50	Cocoamallows	42
51	Chromary	38
51	Kubeusz2010	38
51	jnp_gaming	38
54	T045RTY	36
54	MrExplorer	36
56	Cyntrical	34
57	boog4loo	33
58	SpookyDraggin	32
58	fluddd	32
60	Afinnity	31
60	Blu3beast	31
62	hcb238	30
62	Rebytre	30
62	Miko_Fullbuster	30
65	Nagasaki_Riku	29
65	_Tilariel_	29
67	seramalen	28
68	TheSecondLord	26
68	MilleGrug	26
70	G1ldor	25
70	Freak_Genius	25
72	lillips	24
72	Quaintster	24
74	Arceus1975	23
74	FreddyFart	23
74	Smoke____	23
77	12Magner05	21
77	fkGrim	21
79	NomadicRobin_	20
80	ImpavidArcher	19
80	Kakolbus	19
80	DTwenty	19
83	set67	18
83	Jackattack53	18
83	Corbsman	18
83	Racengan	18
83	Eraxa	18
88	Rumpletaezer	17
88	Bumpy419	17
88	_Yonk_	17
88	sebastiensaborio	17
92	Iagoku	16
92	arcanemagic	16
92	KnightmareD	16
92	MakeHistory157	16
96	Drlzyy	15
97	ProbablyNick	14
97	Powowowow	14
97	FishisTTV	14
100	Erased_Identity	13
101	monky_irl	12
101	IAmTheWalrus910	12
103	Kamflame10	11
103	NotKaden_	11
103	__tomato	11
103	jcool7	11
107	NinjaKnifeKill	10
107	Swexti	10
107	4383	10
107	Nicky19	10
107	Enderslayerxz3	10
112	ColeSnyder	9
112	Incinere	9
112	selectrix	9
112	Barlycorn	9
112	KG1999	9
112	kinas45y5	9
118	JohnnyFyes	8
118	Natofthese	8
118	picardred	8
118	r123moore	8
118	Lord_Jord	8
118	yulgur1	8
118	stavgod	8
118	laron58	8
118	erkada	8
118	TheOuterCore	8
118	MissCeleste7	8
129	pintsizedrogue	7
129	Awyrlas	7
129	Xalithia	7
129	Soplight	7
129	Dogcorn69420	7
129	TechnoNinja64	7
135	CoffeeNoir	6
135	gaziter10	6
135	Ssor69	6
135	jiggywraps	6
135	emrekn	6
135	2Stout	6
135	theonlymagikarp	6
135	fr_ser	6
135	BronkerBrum	6
135	Sky_light_KING	6
135	SvenskaHugo	6
146	jushykins	5
146	DaviusMaximoose	5
146	jacobsoy	5
146	Frozil12	5
146	33sudo	5
146	IvarEXE	5
146	PortlyPete69	5
146	h2p_emrld	5
154	benediktine1	4
154	MangoTheFish	4
154	FishyBoy3811	4
154	XxCookiequeenxX	4
154	IdeallyGrey	4
154	vandmanden	4
160	abramgray	3
160	EMC_	3
160	ssleepless	3
160	Historical_Sand	3
160	Vizzoid	3
160	paranoid_plant	3
160	Snowflowe	3
160	pappaberg	3
160	Muffindrake	3
160	Onennon	3
160	Steven1282598	3
160	oxfordschool	3
160	EcksDofficial	3
173	Jovaphobic	2
173	Franco093	2
173	H72l9w	2
173	beeleg	2
173	Zaridey	2
173	epiksk8erduck	2
173	ClemenPine	2
173	HolyVenom	2
173	Rasmanden	2
173	Jiminbub	2
173	Karbl	2
173	The_slideV3	2
173	MightyWertu	2
173	Kyrum2169	2
173	JayToe	2
188	pZygh0st	1
188	diamondgolem35	1
188	livingdaydreams	1
188	rarrq	1
188	Euclidoris	1
188	Comma__	1
188	m_be9	1
188	Hanselhoof	1
188	mwrty	1
188	killmeiamtraitor	1
188	CrateOfBoxes	1
188	iTurbo	1
188	fred870d	1
188	xo_Marren_xo	1
188	_naturell	1
188	TheSeismicDuck	1
188	audiocracked	1
188	The_Quack_Dealer	1
188	YungWali	1
188	Soap_Bender	1
188	censorsheep	1
188	Groundler	1
188	__Auspicious	1
188	WyngGoy	1
188	layabout100	1
188	pixelviolin	1
188	Spenduh	1
188	obzii	1
188	CalebDHawk	1
188	Creeper_ez	1
188	aao001	1
188	Teebone15	1
