rank	username	minecraft:dropped/minecraft:horn_coral
1	Jackattack53	49
2	Archsam	12
3	Di_infiri	7
4	Skylord_Luke	5
4	Maenara	5
6	Onennon	4
7	noam464	3
7	craaaash	3
7	thewindmillman	3
10	pintsizedrogue	2
10	Lez_	2
10	12Magner05	2
10	_witch_craft_	2
10	Umprella	2
10	doublemaki	2
10	Steelynan	2
10	Enderxz3	2
18	eitanzaki	1
18	T045RTY	1
18	Alteriity	1
18	bloodbiter	1
18	500am	1
18	AlexxO_o	1
18	ChrisKyleST3	1
18	EdGalbraith	1
18	Vanni9	1
18	XxCookiequeenxX	1
18	luseis	1
18	AstreaTSS	1
18	Kowcio_	1
18	miramyu	1
