rank	username	minecraft:dropped/minecraft:dirt
1	beeperbeeper5	45805
2	noam464	44784
3	PigDab	42877
4	joethahobo	40464
5	Spacewardharpy7	37274
6	eitanzaki	28755
7	thewindmillman	26479
8	Di_infiri	24832
9	FelixPSY375	23631
10	Freak_Genius	20092
11	vandmanden	18046
12	Akoot_	18016
13	kekhon	16452
14	Cowison	15888
15	Blaiku	15750
16	YungMaki	14380
17	stahouo	13405
18	EcksD	13043
19	Skylord_Luke	12436
20	Blackberry1310	12268
21	12Magner05	12197
22	lordpipe	11648
23	Blu3beast	11375
24	El_Jalapeno	10693
25	TechnoNinja64	10441
26	gcaisawesome	9734
27	TheShyPig	9198
28	Werbe	9109
29	Racengan	9062
30	Hyp3rion_	8867
31	Winklepicker279	8403
32	diamondgolem35	8268
33	Fullut	8162
34	Smoke____	7920
35	Frozil12	7485
36	set67	7233
37	thescout7	7122
38	Jovaphobic	7106
39	HellsSponge	6707
40	lillips	5818
41	Mahoose	5654
42	jnp_gaming	5568
43	Sheldor097	5552
43	Miko_Fullbuster	5552
45	Hisiste	5409
46	Chromary	5183
47	Warlord324	4991
48	Spenduh	4879
49	SkateboardR6	4875
50	Menthas	4862
51	CoffeeNoir	4812
52	LordSpeed37	4707
53	500am	4641
54	chipklip	4500
55	Skippeh	4467
56	NameGenerat0r	4209
57	TheSecondLord	4081
58	Wooptey	4060
59	Inchef	3992
60	BlancoFlaco	3973
61	MightyWertu	3956
62	Kubelz	3927
63	Ezekson	3875
64	lotarp	3818
65	EveryonesUncle	3772
66	pintsizedrogue	3639
67	sebastiensaborio	3597
68	ShedJr_	3500
69	fluddd	3466
70	trexgb	3421
71	Groovy_MoonBird	3384
72	Awyrlas	3370
73	Hiryu27	3341
74	Hermanni__	3311
75	rarrq	3275
76	The11thDoctor	3227
77	Jackattack53	3176
78	Swexti	3040
78	UncreativeArtist	3040
80	Soplight	3015
81	_Karmaa	3005
82	AlphaWolfPlaysMC	2993
83	Onennon	2989
84	hcb238	2916
85	mwrty	2866
86	SaucyDark	2859
86	_Dean_123	2859
88	Dedalus36	2843
89	The_slideV3	2833
90	Bumpy419	2823
91	Merv__	2777
92	jcool7	2773
93	alderban107	2771
94	I_Am_Mushkin	2746
95	CollinMH06	2683
96	RodSerlingCringe	2667
97	Mewar	2648
98	bigstankyy	2585
99	PortlyPete69	2528
100	NomadicRobin_	2512
101	TheBiggestFeller	2403
101	SpaceGrenadier	2403
103	h2p_emrld	2396
104	Soul_Atreus	2389
105	oxfordschool	2382
106	Rasmanden	2380
107	paranoid_plant	2296
108	Paintz	2295
109	HesDemonPants	2289
110	SSytex_X	2195
111	XboxPanda	2191
112	wezzzi	2175
113	FishisTTV	2174
114	ItzYaBoiPicard	2155
115	cichy096	2139
116	claivin	2126
117	burbankbuilder28	2108
118	Kateesaur	2088
119	Arceus1975	2058
120	_Virify_	2052
121	k1ngGilgamesh	2039
122	fkGrim	2033
123	ApophisNova	2022
123	MyNamaSheff	2022
125	SUN_DREAM	1977
126	Ssor69	1972
126	Zoeyfortnite	1972
128	r123moore	1967
128	Eraxa	1967
130	Quaintster	1953
131	PeteO1995	1939
132	Strangemonkey71	1929
133	PlzNoBM	1900
134	Kowcio_	1861
135	1442	1844
136	__tomato	1834
137	RedcatVII	1790
138	kinas45y5	1782
139	Nargotah	1775
140	djancak	1763
141	T045RTY	1731
142	monky_irl	1730
143	Karetoko	1727
144	WET_WET_WET	1715
145	RobotMinion101	1705
146	ProfessorBee	1697
147	FishyBoy3811	1683
148	FroggoTheDoggo	1680
149	Euclidoris	1677
150	MovingFish7	1669
151	EcksDofficial	1627
152	bloodbiter	1614
153	FirsTimeGamingTV	1612
154	gustarbite	1607
155	_Nuf	1588
156	VentiHilton	1574
157	Nach0Bear	1532
158	KarlKaek	1525
159	seanitoo	1520
159	himak1	1520
161	Bandito_Roamer	1514
162	Lord_Jord	1512
163	Legendosh	1506
164	Toriankel	1496
165	Franco093	1494
166	ROY4LE	1487
167	KillerNekoRain	1475
168	The_Skramz	1472
169	Sky_light_KING	1457
170	AuroraValkyrie	1450
170	RebelAndroid	1450
172	Comma__	1430
173	masskedman	1428
174	Serval2000	1421
175	awesomeoneme	1412
176	ElKaySVK	1402
177	DarlaMeow	1394
178	PhantomsGhost_	1385
179	Steven1282598	1378
180	WyngGoy	1375
181	impossibleteapot	1374
181	seramalen	1374
183	Xclax101	1367
184	MelodyGaysharks	1326
185	lcvezra	1322
186	loveseeker	1304
187	Cocoamallows	1299
188	GingerNeutron	1278
189	_NieToksikpl_	1276
190	Kubeusz2010	1267
191	6king6colt6	1261
192	SammiWolfGirl	1258
193	AltnumberF4	1250
194	Nicserso	1245
195	FallenCorps	1242
196	Inbefour	1235
196	UrbanPlanner1978	1235
198	Froste131	1230
199	ayqq	1228
200	crying_wolf_13	1226
201	mimbo1211	1222
202	SvenskaHugo	1217
203	Dan_Scha	1210
204	surfinggiraffejp	1192
205	Kyrum2169	1189
206	cedric72	1177
207	Tommhh	1166
208	Kakolbus	1161
209	pixelviolin	1151
210	benediktine1	1144
211	Nycteus_	1136
212	MeetTheWollo	1131
213	Syropatathe	1115
214	fr0stss	1109
215	m_be9	1105
216	Njensen7	1098
217	Omar_Alone	1095
218	SuperPooch06	1070
219	M_Patata	1064
220	Zythose	1059
221	livingdaydreams	1057
222	gabriels543	1051
223	jewbacaman	1049
224	xxPipperDipperxx	1045
225	Enderslayerxz3	1037
226	MasterNueve	1032
227	Reamdin	1022
228	Alexanderjac	1016
229	MilleGrug	1009
230	fallingemma	1007
231	teslawolf38	1006
232	_Bguette_	1005
233	Groundler	994
234	OverallConcept	989
235	Dusk_95	988
236	Nicky19	987
237	Shogunite	976
238	Nagasaki_Riku	974
239	egglapras	965
240	Maenara	963
241	Sqwishy	938
242	Kamflame10	921
242	Choco_Spy	921
244	CalebDHawk	919
245	stavgod	916
246	Ardennes	902
247	33sudo	901
248	TheFlfthHorseman	887
249	Rumpletaezer	868
250	Shiirazuku	851
251	soundad	842
252	EMC_	838
253	GlitchyPlate810	835
254	Ze_BaronKrigler	830
255	CliffEmAll	829
256	CarbonatedCola	828
257	IAmTheWalrus910	824
258	OnlyOfficial	817
259	Tobinator_007	816
260	Incinere	813
261	zorin123	809
262	censorsheep	801
263	ciemacigans	795
264	gaziter10	784
265	dragonsleger	783
266	GravitySaint	774
267	emrekn	763
268	fred870d	754
269	Sabby65	751
270	Uzbeki_John	748
271	ImpavidArcher	743
271	Invisie	743
273	DTwenty	738
274	boog4loo	730
275	ExtraDumb	728
276	Bad_At_Names_Guy	724
277	TooManyDuck	710
278	Wowful	705
278	anbbang	705
280	KG1999	702
281	YungWali	696
282	brofrickcheaters	694
283	Drlzyy	692
284	Apicomplexa	686
285	jacxhadow	683
286	KliBeast21	674
287	Kferno	672
288	hm947	671
289	Luigipunch989	666
290	titanlax	656
291	PuFY	653
292	DanTheBuilderino	643
293	Gundam_Steven	640
293	cwartzo	640
295	Nicky_H225	639
296	audiocracked	633
297	YungJakobo	625
298	yulgur1	624
299	MyNameIsDakar	623
300	eviltunix	622
