rank	username	minecraft:dropped/minecraft:yellow_concrete
1	Jackattack53	5011
2	lordpipe	1407
3	noam464	615
4	thewindmillman	517
5	HyperCave	378
6	Mr_Byzantine	155
7	Sheldor097	153
8	beeperbeeper5	142
9	doublemaki	134
10	IAmTheWalrus910	113
11	Xclax101	89
12	Lez_	85
13	emreknugrlu	67
14	eitanzaki	65
14	Mattesco	65
14	Kowcio_	65
17	Chromary	62
18	ImpavidArcher	56
19	Soplight	40
20	Crowman1	32
21	MakeHistory157	31
22	Uzbeki_John	18
23	jnp_gaming	15
24	Nicserso	13
25	Blackberry1310	11
26	TheWildMateo	10
26	Blaiku	10
28	Akoot_	9
28	Groundler	9
28	Yamdalorian	9
31	cuddlyMonster	8
32	laron58	7
33	Frozil20	6
33	kekhon	6
33	xxPipperDipperxx	6
33	OverallConcept	6
33	Eraxa	6
38	ColeSnyder	5
38	Mahoose	5
38	rarrq	5
38	__Fanda__	5
38	SonicRainBow_	5
38	TechnoNinja64	5
38	LuvLuvLove	5
45	craaaash	4
45	Spacewardharpy7	4
45	stavgod	4
48	ProbablyNick	3
48	Swexti	3
48	jushykins	3
48	Di_infiri	3
48	Zythose	3
48	CalebDHawk	3
48	aubergined	3
55	BPTY4618	2
55	MrExplorer	2
55	Fullut	2
55	Werbe	2
55	luseis	2
55	stellarjay	2
55	ProbsNotNova	2
55	es0th	2
63	pintsizedrogue	1
63	StanceTB	1
63	MattieHD	1
63	_Dean_123	1
63	Warlord324	1
63	ZeaBaron	1
63	PlzNoBM	1
