rank	username	minecraft:dropped/minecraft:polished_deepslate
1	Hyp3rion_	24480
2	thewindmillman	15605
3	mihimihimihi	7550
4	YungMaki	613
5	xolstoi	340
6	weabis	330
7	Fuad_R	204
8	shrimp_flips	191
9	Moofyman	113
10	Groovy_MoonBird	75
11	TheALV	74
12	Touched_Bread	69
13	TooPure2	68
14	ScootOfBoot	66
15	Da_Boss_Rani	65
15	TheWildMateo	65
15	Kowcio_	65
18	AstreaTSS	64
18	non089	64
18	00000000-0000-0000-0009-01ff0c3e5e4f	64
21	TheBananaKat	54
22	Mahoose	51
23	Mattesco	49
24	groofles	35
25	jessemgaming	24
25	Lez_	24
27	PazinGaming	19
28	hm947	15
28	Sleepy_Time_	15
30	MrKrabOnCoke	14
31	beeperbeeper5	9
32	TheSecondLord	8
32	Nicserso	8
34	k_ce	7
34	thebaddruid	7
36	ItsHydroMC	6
36	Rebytre	6
38	RebelAndroid	5
39	MuffinManzz	4
39	Smashic	4
39	TJawesome09	4
39	Manaateee	4
39	AltnumberF4	4
44	Jackattack53	3
45	MogusBussy69	2
45	SyntheticSurgeon	2
45	Luminad3	2
45	Wowful	2
45	pixelviolin	2
50	RoskobiOne	1
50	EMC_	1
50	joethahobo	1
50	12Magner05	1
50	ARandomHedge	1
50	drunkeeez	1
50	Skylord_Luke	1
50	luseis	1
50	CuzIm2Kev	1
50	Jimb0nat0r	1
