rank	username	minecraft:dropped/minecraft:iron_pickaxe
1	mimbo1211	56
2	Zythose	43
3	gcaisawesome	35
4	lotarp	33
5	eitanzaki	28
6	TheSecondLord	25
6	RedcatVII	25
8	tsohomie	24
9	Jackattack53	22
9	monky_irl	22
11	Di_infiri	20
12	bloomkieren	19
13	Freak_Genius	18
13	Kubeusz2010	18
15	Werbe	17
15	djancak	17
17	Njensen7	16
18	cedric72	15
18	wobn	15
20	KingMatthew506	14
21	xXTheWolfmanXx	13
21	Whiterooster001	13
21	bloodbiter	13
21	Ardennes	13
21	mwrty	13
21	intropass	13
21	Ecplosive	13
21	Bumpy419	13
21	EveryonesUncle	13
21	anbbang	13
21	oxfordschool	13
21	jnp_gaming	13
33	set67	12
33	Blaiku	12
33	Racengan	12
33	Toriankel	12
37	Mowelan	11
37	beeperbeeper5	11
37	voiding_	11
40	NomadicRobin_	10
40	Quaintster	10
40	Ezekson	10
43	Wooptey	9
43	Historical_Sand	9
43	Nach0Bear	9
43	peecies	9
43	Razzgriz	9
43	SSytex_X	9
43	TechnoNinja64	9
43	kinas45y5	9
51	6king6colt6	8
51	SaucyDark	8
51	kekhon	8
51	GingerNeutron	8
51	Kubelz	8
51	PigDab	8
51	XeroByMyth	8
51	LilLizardWizard	8
51	Lord_Jord	8
51	sufjanlover	8
51	Hermanni__	8
51	cichy096	8
63	H72l9w	7
63	rarrq	7
63	ThePoliteG	7
63	__TheNorseMan__	7
63	Orcus113	7
63	gabriels543	7
63	Akoot_	7
63	El_Jalapeno	7
63	Warlord324	7
63	Hisiste	7
63	Eraxa	7
63	stahouo	7
63	Miko_Fullbuster	7
76	Elprone266	6
76	Hashinshin69	6
76	ConcretePirate	6
76	thescout7	6
76	Paintz	6
76	Kakolbus	6
76	Chromary	6
76	Dan_Scha	6
76	TheSeismicDuck	6
76	QueenShuvi	6
76	Seindi	6
76	jcool7	6
76	vandmanden	6
89	Krasnal1337	5
89	soundad	5
89	KarlKaek	5
89	bigstankyy	5
89	ShedJr_	5
89	Xalithia	5
89	Hiryu27	5
89	Skylord_Luke	5
89	_Cloverbelle_	5
89	BRRRN179	5
89	lizardfightclub	5
89	Lord_Zacler	5
89	Frozil12	5
89	fluddd	5
89	Leithz6	5
89	Soul_Atreus	5
89	Kowcio_	5
89	EcksD	5
89	Wolverine4302	5
89	JasmineGK	5
109	pintsizedrogue	4
109	_Virify_	4
109	Ze1ig	4
109	Dedalus36	4
109	BlancoFlaco	4
109	livingdaydreams	4
109	T045RTY	4
109	Mahoose	4
109	Stynxy	4
109	Ozixar	4
109	Upstro10	4
109	MinttyFressh	4
109	Hamsanders	4
109	_Nuf	4
109	_Dean_123	4
109	Scathra	4
109	beeleg	4
109	himak1	4
109	2Stout	4
109	xxPipperDipperxx	4
109	noam464	4
109	fallingemma	4
109	RyuNeko932000	4
109	DeeDeeThonk	4
109	fred870d	4
109	ChrisKyleST3	4
109	NameGenerat0r	4
109	mafiKiwi	4
109	Xclax101	4
109	Yahir091	4
109	NotMeowMix	4
109	AvaRosey	4
109	Cocoamallows	4
109	robotemo	4
109	BlankityMcBlank	4
109	Catharsist	4
109	mobunni	4
109	Nicserso	4
109	Powowowow	4
109	Smoke____	4
109	561cool	4
150	MunkaKris	3
150	doopiyo	3
150	seanitoo	3
150	fanofbands101	3
150	Cowison	3
150	KingFaenor	3
150	I_Am_Mushkin	3
150	Houstonion	3
150	Zippyzam	3
150	Incinere	3
150	CoffeeNoir	3
150	joethahobo	3
150	Prodiginus	3
150	Khelvoryk	3
150	cowgirlkasia	3
150	Blackberry1310	3
150	CliffEmAll	3
150	MattieHD	3
150	rpmm	3
150	Sloths_Ender	3
150	wiqor	3
150	redikul	3
150	Dali1465	3
150	Mewar	3
150	theonlymagikarp	3
150	Noah_Bez	3
150	loveseeker	3
150	valiSW	3
150	MyNameIsJobo	3
150	jedi_george	3
150	Hyp3rion_	3
150	King_Pancake1	3
150	impossibleteapot	3
150	_Boipl_	3
150	out1s	3
150	ooga47	3
150	Kouridragon	3
150	CruncyIsTaken	3
150	sxc_	3
150	Maenara	3
150	Sky_light_KING	3
150	Fuhrer_Teemo	3
150	madderfall	3
150	proxivitoid	3
150	drumine	3
150	DanTheBuilderino	3
150	501g	3
150	Jamstroxian	3
150	ATurtle4936	3
150	censorsheep	3
150	DeGodz4life	3
150	MovingFish7	3
150	lordpipe	3
150	geekbird	3
150	Ze_BaronKrigler	3
150	emantbe	3
150	Nagasaki_Riku	3
150	Pickel_Lord	3
150	hdtpm	3
150	yatsuta	3
150	Siguy__	3
150	Kijiki	3
150	__tomato	3
150	Phoenix_Diacou	3
150	DontHaveKick	3
150	Juh1s	3
150	lcvezra	3
150	_TCARREIRA_	3
150	ProbsNotNova	3
150	Deguns123	3
