rank	username	minecraft:dropped/minecraft:magma_block
1	Hyp3rion_	23910
2	zToasty69z	2683
3	Winklepicker279	2066
4	FreakGenius	2023
5	thewindmillman	1775
6	Sleepy_Time_	960
7	AdmiralSmoke	923
8	H72l9w	782
9	noam464	740
10	Fullut	710
11	set67	708
12	GOOBERGABE04	682
13	Vizzoid	649
14	Blaiku	609
15	eitanzaki	569
16	DarlaMeow	470
17	kekhon	453
18	Rebytre	431
19	Zythose	411
20	PigDab	379
21	NomadicRobin_	361
22	Groovy_MoonBird	345
23	WET_WET_WET	336
24	Racengan	333
25	r123moore	301
26	Segotep999	287
27	mwrty	275
28	remmisrat	266
29	SSytex_X	261
30	xxPipperDipperxx	258
31	pintsizedrogue	248
32	Mewar	243
33	beeperbeeper5	206
34	Nycteus_	203
35	fallingemma	200
36	EcksD	199
37	Di_infiri	194
37	Werbe	194
39	Sleek_Storm_721	190
40	Mahoose	184
40	TechnoNinja64	184
42	CoffeeNoir	180
43	NatalieTW	178
43	Wowful	178
45	Jackattack53	174
46	AuroraValkyrie	164
47	PazinGaming	163
48	groofles	154
49	Druid95	153
50	_Bguette_	152
50	Iamthejo	152
52	Kura2218	150
53	Frozil20	143
54	Lord_Jord	142
54	EveryonesUncle	142
56	trexgb	138
57	FirsTimeGamingTV	137
58	Tyrannosplart	132
59	RebelAndroid	131
60	fade_emerge78823	130
60	Skippeh	130
62	12Magner05	119
63	Spacewardharpy7	118
64	Moetis	117
65	TheDankPlatypus	116
66	XboxPanda	114
67	Blu3beast	112
68	NieToksikpl	106
69	Lez_	104
70	striker90333	103
71	thescout7	100
72	djancak	99
73	Nicserso	97
74	The11thDoctor	94
75	Megarboh	93
75	Skylord_Luke	93
77	joethahobo	90
78	FishyBoy3811	88
79	SmashingPump	87
80	Badenbeele	86
81	MightyWertu	82
82	Scathra	78
82	kubinek69	78
82	MirielThePastor	78
85	UltraZombie	74
86	WyngGoy	72
87	ITDV	71
87	SingedBread	71
89	Hiryu27	70
89	gustarlep	70
91	Chromary	69
91	SkateboardR6	69
93	Wooptey	67
93	vandmanden	67
95	Sabby65	66
95	_Dean_123	66
97	bigstankyy	65
97	GravitySaint	65
97	jcool7	65
100	legal_tax_evader	64
100	EngagedGrub41	64
102	SquadMonster	63
102	PlzNoBM	63
104	Enderxz3	61
105	seanitoo	60
105	fw3xy74	60
107	MilleGrug	58
107	2blox_	58
109	itburb	55
110	YungMaki	53
110	calamariclam_I	53
112	yaboo88	52
112	Zoeyfortnite	52
114	k_ce	51
114	hm947	51
114	Blackberry1310	51
114	HoldThatPee	51
118	I_Am_Mushkin	50
119	GreedyFern8581	49
119	Shogunite	49
121	HolyVenom	48
122	gcaisawesome	47
122	HellsSponge	47
124	SvenskaAlvar	44
125	m_be9	43
125	Soplight	43
127	Smashic	42
127	lillips	42
129	BobDeBouwer1337	41
129	yheece	41
129	AltnumberF4	41
132	Cryptacity	40
133	TheSecondLord	39
134	AuroraSkies	38
134	Manaateee	38
134	Spenduh	38
134	Kubeusz2010	38
138	Boboczus	37
139	ooga47	36
139	SammiWolfGirl	36
141	lordpipe	35
142	Strangemonkey71	33
143	EMC_	32
143	Da_Boss_Rani	32
143	mimbo1211	32
143	Northernrabbit	32
147	Jovaphobic	31
147	301851	31
147	IamCL4SSY	31
147	yulgur1	31
147	mihimihimihi	31
152	Lutres_	30
152	VentiHilton	30
154	Enigma0251	29
154	Kakolbus	29
154	SuperPooch06	29
154	NoChumpChange	29
158	Kowcio_	28
159	Secret_Canary	27
159	F_Uhre	27
159	_i_ERROR_i_	27
162	DinoDoctor_	26
162	BlancoFlaco	26
162	Onennon	26
162	NameGenerat0r	26
162	Dogcorn69420	26
167	Krasnal1337	25
167	ROY4LE	25
169	Hail_the_wombat	24
170	Hyugo	23
170	rarrq	23
170	500am	23
170	KGTV	23
170	LeonelSalamanca	23
170	MS_Pryxx	23
170	NebulousBadger	23
177	shrimp_flips	22
177	fluddd	22
179	Tmb1	21
179	jewbacaman	21
179	lizardfightclub	21
179	ayamefag	21
179	Luigipunch989	21
184	SyK7	20
184	MoistMicrowave	20
184	_Boipl_	20
184	Mattesco	20
184	luseis	20
184	UCP_TheKingK	20
190	boog4loo	19
190	Bumpy419	19
190	Kekoo	19
193	H0UNDFRMH3LL	18
193	Bandito_Roamer	18
193	intropass	18
193	Deerfoot	18
193	Hisiste	18
198	Flores991	17
198	T045RTY	17
198	Alteriity	17
198	gaziter10	17
198	RobotMinion101	17
198	Xclax101	17
204	NinjaKnifeKill	16
204	SellyZ	16
204	Maenara	16
204	LeEricc	16
208	ShedJr_	15
208	iSammael	15
210	Cowison	14
210	livingdaydreams	14
210	Gab4101	14
210	Russiancat1	14
210	censorsheep	14
210	monky_irl	14
210	TheEnderMan548	14
217	diamondgolem35	13
217	Franco093	13
217	Comma__	13
217	M_Patata	13
217	MasterNueve	13
217	HesDemonPants	13
217	coobert42	13
224	_Virify_	12
224	heysushii	12
224	Arteriana	12
224	Crowman1	12
224	bloodbiter	12
224	TheSeismicDuck	12
224	Njensen7	12
224	scarletwarrior1	12
224	jnp_gaming	12
233	Ze_BaronKrigler	11
233	voiding_	11
235	ganyuganyu	10
235	surfinggiraffejp	10
235	Eczbox	10
235	Rasmanden	10
235	ori0le	10
235	DarkS0L	10
235	tonyth3tiger	10
235	Eczbek	10
235	alderban107	10
235	UrbanPlanningEx	10
245	KarlKaek	9
245	Lord_Doob	9
245	xzvu	9
245	MissCeleste7	9
249	ECstardust	8
249	Nicky_H225	8
249	Fuad_R	8
249	501g	8
249	Eraxa	8
249	non089	8
255	Prismyst	7
255	I_Moose	7
255	2Stout	7
255	Truckoss	7
255	Drewen24	7
255	MrTentacles2169	7
255	h2p_emrld	7
262	Wolf_Mauler_73	6
262	Swexti	6
262	MattieHD	6
262	excelsionprime	6
262	Cellcorgi649	6
262	Karetoko	6
262	MyNameIsJobo	6
262	MousePlays	6
262	ReSynced	6
262	LexMakesHistory	6
262	FishisTTV	6
262	diggydog67	6
274	MuffinManzz	5
274	Apollo_993	5
274	PhantomsGhost_	5
274	shineh10	5
274	SyntheticSurgeon	5
274	Reamdin	5
274	Jackster03	5
274	Ssor69	5
274	TheFlfthHorseman	5
274	mexicancharlie	5
274	Invisie	5
274	marumochis	5
274	layabout100	5
274	Dreamdbr14	5
274	tartanboy	5
289	chipklip	4
289	nocturne78	4
289	ccwildfire1	4
289	urbeans	4
289	Chickenchaser2	4
289	Cortexia	4
289	_Nuf	4
289	_lildarki3	4
289	Stiar	4
289	ARandomHedge	4
289	CollinMH06	4
289	RefluxRatio	4
