rank	username	minecraft:dropped/minecraft:bone_block
1	noam464	110479
2	thewindmillman	97910
3	Hyp3rion_	64694
4	Spacewardharpy7	57312
5	EcksD	28620
6	Blaiku	10317
7	eitanzaki	2561
8	PigDab	2093
9	joethahobo	1974
10	vandmanden	1592
11	Werbe	1563
12	Blackberry1310	1130
13	Smoke____	829
14	Segotep999	798
15	pintsizedrogue	768
16	Mahoose	590
17	rarrq	556
18	Di_infiri	443
19	Snowflowe	429
20	Historical_Sand	320
21	oxfordschool	286
22	Maenara	284
23	Akoot_	268
24	jnp_gaming	257
25	Lord_Jord	255
26	TechnoNinja64	230
27	Frozil12	218
28	Fullut	194
29	DarlaMeow	192
30	MightyWertu	177
31	Kakolbus	153
32	AuroraValkyrie	143
33	Blu3beast	130
34	12Magner05	128
34	wordboy107	128
34	GravitySaint	128
34	__tomato	128
34	Quotary	128
39	Quaintster	124
40	Freak_Genius	116
41	alderban107	114
42	lordpipe	113
43	YungMaki	102
44	Jiminie	92
45	PortlyPete69	91
46	Mr_Byzantine	84
46	NameGenerat0r	84
48	kinas45y5	80
49	fred870d	72
49	lillips	72
51	Groovy_MoonBird	67
51	500am	67
51	_Bguette_	67
54	Steelynan	65
55	Merv__	64
55	Bumpy419	64
55	Nicserso	64
58	___James____	60
59	kekhon	58
60	theofiel	56
61	Shiirazuku	47
62	pumpfonzo	46
63	wumrey	45
64	RobotMinion101	42
65	ooga47	41
66	lcvezra	36
67	gcaisawesome	34
68	TheDiamondCG	33
68	Zoeyfortnite	33
70	Legendosh	32
71	KarlKaek	31
72	ImpavidArcher	27
73	BlueZabu	25
74	MovingFish7	23
75	gabriels543	22
76	_Virify_	21
76	Enderslayerxz3	21
78	Mewar	20
78	XboxPanda	20
80	UrbanPlanner1978	19
81	layabout100	18
82	Killswitch_RW	17
82	Xovalt_	17
82	KG1999	17
85	Jackattack53	15
85	Jeteight	15
87	set67	14
87	loveseeker	14
87	Soplight	14
87	anbbang	14
91	livingdaydreams	12
91	Armattillo	12
91	2blox	12
94	Xclax101	11
95	cog	10
96	lizardfightclub	9
97	_Magdo_	8
97	Deathkob	8
99	diamondgolem35	7
99	Arceus1975	7
99	Skylord_Luke	7
99	El_Jalapeno	7
103	bigstankyy	6
103	T045RTY	6
103	TheSecondLord	6
103	mwrty	6
103	PeteO1995	6
103	NomadicRobin_	6
103	fluddd	6
103	PlasticOtari	6
111	Meepcraft	5
112	NotMeanttoChange	4
112	Racengan	4
114	beeperbeeper5	3
114	burbankbuilder28	3
114	Eraxa	3
117	bmac2718	2
117	Moofyman	2
117	chipklip	2
117	ediballbearings	2
121	AshleeCW	1
121	ShedJr_	1
121	Myszoaz	1
121	SteveCraftBlocks	1
121	yaboo88	1
121	DScatgirls	1
121	iHuntWeeaboos	1
121	Razzgriz	1
121	Kyrum2169	1
121	stahouo	1
121	_TCARREIRA_	1
121	Drawgirll	1
121	Kubeusz2010	1
121	cichy096	1
