rank	username	minecraft:dropped/minecraft:golden_horse_armor
1	Kowcio_	12
2	mwrty	7
3	Blaiku	6
4	Rumpletaezer	5
4	DarlaMeow	5
4	FreakGenius	5
7	k_ce	4
7	kekhon	4
7	vandmanden	4
10	fanofbands101	3
10	noam464	3
10	Reneedium	3
10	Tyrannosplart	3
10	Nicserso	3
10	jnp_gaming	3
10	MelodyGaysharks	3
17	MuffinManzz	2
17	Mahoose	2
17	rarrq	2
17	Scathra	2
17	Di_infiri	2
17	thewindmillman	2
17	seramalen	2
17	Wowful	2
17	emreknugrlu	2
17	Fuad_R	2
17	_k2x	2
17	mihimihimihi	2
17	SvenskaHugo	2
17	Segotep999	2
17	ConnorDanky_	2
17	Enderxz3	2
17	h2p_emrld	2
34	Mr_Byzantine	1
34	ECstardust	1
34	Frozil20	1
34	TachibanaAkira	1
34	Iagoku	1
34	SaucyDark	1
34	eitanzaki	1
34	SOA1RR	1
34	joethahobo	1
34	Stynxy	1
34	Valoth	1
34	Blackberry1310	1
34	MinttyFressh	1
34	MattieHD	1
34	Secret_Canary	1
34	slkiey	1
34	Smashic	1
34	crying_wolf_13	1
34	set67	1
34	Fullbit_	1
34	thescout7	1
34	SpicyMeatballs	1
34	DirtyBoar	1
34	TheDankPlatypus	1
34	crashomon	1
34	Hyp3rion_	1
34	byFlixxx	1
34	Bumpy419	1
34	RebytreGT	1
34	Moofyman	1
34	AlexxO_o	1
34	Mr_Froxy	1
34	zToasty69z	1
34	MeanTugger	1
34	yulgur1	1
34	EveryonesUncle	1
34	HellsSponge	1
34	Xclax101	1
34	fluddd	1
34	MightyWertu	1
34	Yahir091	1
34	sp00ky_ghost977	1
34	_Mythic____	1
34	07shiny	1
34	YungMaki	1
34	miramyu	1
34	Celeste_121	1
34	KingMatthew506	1
34	TheBananaKat	1
34	trexgb	1
