rank	username	minecraft:dropped/minecraft:bell
1	500am	210
2	eitanzaki	125
3	H0UNDFRMH3LL	55
4	pixelviolin	33
4	Nicserso	33
6	emrekn	24
6	THEKINGLyric10	24
8	HellsSponge	21
9	Merv__	17
9	noam464	17
9	Hyp3rion_	17
12	EveryonesUncle	16
13	Tyrannosplart	14
14	Apollo_993	12
15	kekhon	10
15	gcaisawesome	10
15	k1ngGilgamesh	10
18	Mahoose	8
18	mimbo1211	8
20	thewindmillman	7
20	WyngGoy	7
22	SmashingPump	5
22	Werbe	5
22	Ezekson	5
25	Blu3beast	4
25	fluddd	4
27	Di_infiri	3
27	Akoot_	3
27	xzvu	3
27	PlasticOtari	3
27	xolstoi	3
27	Smoke____	3
33	PhantomsGhost_	2
33	SaucyDark	2
33	RebelAndroid	2
33	beeperbeeper5	2
33	MinttyFressh	2
33	thescout7	2
33	ROY4LE	2
33	IamCL4SSY	2
33	Racengan	2
33	Spacewardharpy7	2
33	Steelynan	2
33	imaginek1d	2
45	fanofbands101	1
45	Sleek_Storm_721	1
45	diamondgolem35	1
45	Incinere	1
45	youhjjhhhjj	1
45	Cryptacity	1
45	mwrty	1
45	theonlymagikarp	1
45	Onennon	1
45	Mattesco	1
45	jewbacaman	1
45	Leyna3	1
45	Deathkob	1
45	RoofTyler	1
45	DarlaMeow	1
45	NameGenerat0r	1
45	Shogunite	1
45	Quaintster	1
45	Xclax101	1
45	BumbleBeever	1
45	YungMaki	1
45	KingMatthew506	1
45	Enderxz3	1
45	Powowowow	1
45	2bolx_	1
45	TechnoNinja64	1
45	bladeefan2009	1
