rank	username	minecraft:dropped/minecraft:leather
1	Hyp3rion_	139375
2	thewindmillman	17796
3	noam464	10731
4	Hisiste	6939
5	Jackattack53	6806
6	Blaiku	4657
7	eitanzaki	3466
8	joethahobo	3173
9	lordpipe	2693
10	FreakGenius	2304
11	Di_infiri	1563
12	fw3xywashere	1240
13	MichBox	1163
14	EcksD	1123
15	beeperbeeper5	786
16	YungMaki	683
17	gcaisawesome	681
18	PigDab	674
19	TechnoNinja64	647
20	lillips	598
21	Aryamanee	471
22	Chromary	454
23	NomadicRobin_	452
24	jnp_gaming	449
25	Smoke____	389
26	stevewithclout	385
27	HellsSponge	378
28	Fullut	377
29	rarrq	367
30	Spacewardharpy7	335
31	Legendosh	328
32	HoltGrim	322
33	mihimihimihi	301
34	set67	236
35	kekhon	231
36	RealGroot	226
37	Rebytre	223
38	pintsizedrogue	207
38	bra1nbrain	207
38	m9_meltdown_	207
41	_Virify_	184
42	Bandito_Roamer	182
43	ROY4LE	173
44	Smussa	172
45	Blu3beast	166
46	T045RTY	165
47	Lord_Jord	162
47	Skippeh	162
49	Enderxz3	160
50	Kowcio_	150
51	Eraxa	149
52	CalebDHawk	148
53	TheSecondLord	145
54	Lez_	140
55	Comma__	133
55	MineMaster0012	133
57	Hyugo	128
57	k1ngGilgamesh	128
59	masskedman	125
60	Tyrannosplart	122
61	__tomato	121
62	RobotMinion101	114
63	Mythic1130	109
64	Razzgriz	104
65	500am	103
65	trixterrx	103
67	fluddd	102
67	Racengan	102
69	censorsheep	101
70	Winklepicker279	100
71	Z3braYTIL	99
72	ediballbearings	97
73	MattieHD	96
73	Dogcorn69420	96
75	GlitchyPlate810	94
76	Incinere	91
77	MilleGrug	90
78	Soap_Bender	89
79	I_Am_Mushkin	86
80	Snowflowe	85
80	Njensen7	85
82	ougstur	84
82	MakeHistory157	84
84	bladeefan2009	83
85	NatalieTW	80
85	emrekn	80
85	yulgur1	80
85	Lord_Zacler	80
89	livingdaydreams	76
89	Mahoose	76
89	_Karmaa	76
92	Esme_1	74
92	Blackberry1310	74
94	ConnorDanky_	73
95	MrKrabOnCoke	71
96	CliffEmAll	69
96	MinttyFressh	69
98	Xclax101	68
99	himak1	67
100	6king6colt6	66
100	Maenara	66
102	TheThomas69	65
102	Sral7	65
104	TooManyDuck	64
104	youhjjhhhjj	64
104	Auseawesome	64
104	Mr_Sun15	64
104	Ender_Souls	64
104	DTwenty	64
104	EveryonesUncle	64
104	SexcMf	64
104	MissCeleste7	64
113	wobn	63
114	12Magner05	62
115	Frozil20	57
115	Secret_Canary	57
115	thescout7	57
118	Kyrum2169	55
119	Ezekson	53
120	Akoot_	50
121	Killercatty78	47
121	diggydog67	47
123	RebelAndroid	46
123	GingerNeutron	46
125	burbankbuilder28	45
125	WyngGoy	45
127	_Nuf	44
127	BreadBacon	44
127	FishisTTV	44
130	gusstationwerker	43
130	trexgb	43
132	H0UNDFRMH3LL	42
133	k_ce	41
133	diamondgolem35	41
133	Zythose	41
133	Luminad3	41
133	binman420	41
138	Groovy_MoonBird	40
139	SaintJosie	39
140	fr0stss	38
141	Scathra	36
141	ClemenPine	36
141	Dusk_95	36
144	dopplexd	35
144	mimbo1211	35
144	pappaberg	35
144	anbbang	35
148	PhantomsGhost_	33
148	fade_emerge78823	33
150	dudcreeper	32
150	H72l9w	32
150	Yirtle	32
150	Inchef	32
150	MyNameIsJobo	32
150	MyNameIsDakar	32
156	MousePlays	31
157	Historical_Sand	30
157	Kura2218	30
157	jcool7	30
160	Cowison	29
160	Bumpy419	29
160	HyperCave	29
163	MixerDixer	28
163	Awyrlas	28
163	xxPipperDipperxx	28
163	Werbe	28
163	Karbl	28
163	SvenskaHugo	28
169	EMC_	27
169	lotarp	27
169	InfernalMound	27
169	KingEgg1	27
169	RoofTyler	27
174	Ze_BaronKrigler	26
175	__TheNorseMan__	25
175	legal_tax_evader	25
177	shadowthemonkey	24
177	Project_MKBRD	24
177	SkateboardR6	24
177	Steelynan	24
177	laron58	24
182	gustarlep	23
182	luseis	23
184	UncleDanDan	22
184	Kakolbus	22
184	Hiryu27	22
184	Quaintster	22
184	DolphinLaugh	22
184	RadarHz	22
190	ivorico	21
190	WET_WET_WET	21
190	SvenskaAlvar	21
190	NameGenerat0r	21
190	Warlord324	21
190	KingMatthew506	21
190	tartanboy	21
197	NotKaden_	20
197	obzii	20
199	Natty	19
199	mwrty	19
201	_Dean_123	18
201	SPUDonSTEROIDS	18
201	jewbacaman	18
201	Russiancat1	18
201	LordSpeed37	18
201	pixelviolin	18
207	CoffeeNoir	17
207	m_be9	17
207	BlueZabu	17
207	MustaLoordi	17
211	Jeteight	16
211	zToasty69z	16
211	silverpopcorn	16
214	Rich_Kat	15
214	Smashic	15
214	Paintz	15
214	Wowful	15
214	claivin	15
214	Zetsey	15
214	brofrickcheaters	15
214	Eczbek	15
214	TheOnlyRake	15
223	PazinGaming	14
223	Flores991	14
223	SteveCraftBlocks	14
223	crying_wolf_13	14
223	Arceus1975	14
223	DarlaMeow	14
223	MovingFish7	14
223	PabloGonza02	14
223	xzvu	14
232	Crowman1	13
232	boog4loo	13
232	Skylord_Luke	13
232	EfficientC52	13
232	TheEnderMan548	13
232	HesDemonPants	13
232	PlasticOtari	13
239	Myszoaz	12
239	eviltunix	12
239	F_Uhre	12
239	iElijah	12
239	halfwayup	12
239	Rasmanden	12
239	shrimp_flips	12
246	pZygh0st	11
246	Ardennes	11
246	minersam1	11
246	UncreativeArtist	11
246	_Bguette_	11
246	SingedBread	11
246	LeEricc	11
253	Jovaphobic	10
253	Huwulling	10
253	ITDV	10
253	Kkanot	10
253	ImDisconnected_	10
253	owlcrush	10
253	LeGold	10
253	ZA07	10
253	CuzIm2Kev	10
253	geekbird	10
253	ayamefag	10
253	smogfrog	10
253	Nicserso	10
253	AltnumberF4	10
267	_Huge_Male_	9
267	hm947	9
267	Jahara	9
267	Alteriity	9
267	Jackster03	9
267	MOSS000	9
267	Swexti	9
267	ProfessorBee	9
267	Xalithia	9
267	Touched_Bread	9
267	SHAOBADMAN	9
267	fkGrim	9
267	UltraZombie	9
267	Jimb0nat0r	9
281	Tobinator_007	8
281	BlancoFlaco	8
281	SaucyDark	8
281	tramizu	8
281	bloodbiter	8
281	TheDiamondCG	8
281	_Magdo_	8
281	Motsaro	8
281	Pineapplesugr	8
281	M_Patata	8
281	prizm_	8
281	xambsam	8
281	ItsMrRamen	8
281	sammidk	8
281	MightyWertu	8
281	PlzNoBM	8
281	K_a__a_n	8
281	Hermanni__	8
281	alderban107	8
281	2bolx_	8
