rank	username	minecraft:dropped/minecraft:yellow_carpet
1	Xclax101	561
2	beeperbeeper5	261
3	EcksD	193
4	Huwulling	58
5	thewindmillman	51
6	FreakGenius	48
7	kekhon	44
8	Smashic	42
9	theonlymagikarp	41
10	Crowman1	34
11	Lord_Jord	33
12	Jackattack53	32
13	KingMatthew506	31
14	lordpipe	26
15	NotTrixi	19
16	TechnoNinja64	16
17	EveryonesUncle	13
17	Hermanni__	13
19	djancak	12
20	GlitchyPlate810	10
21	fullyrawfuzz	9
21	Skylord_Luke	9
21	Spacewardharpy7	9
24	MattieHD	8
25	Mattesco	7
26	Akoot_	6
26	YungMaki	6
26	ConnorDanky_	6
29	Mahoose	5
30	joethahobo	4
30	Rich_Kat	4
30	FishyBoy3811	4
30	Legendosh	4
34	Merv__	3
34	Blackberry1310	3
34	SteveCraftBlocks	3
34	fw3xywashere	3
34	Godspirit249	3
34	Kubeusz2010	3
34	Smoke____	3
41	PazinGaming	2
41	dopplexd	2
41	NomadicRobin_	2
41	Blaiku	2
41	sadvavilloso	2
41	UCP_TheKingK	2
41	SSytex_X	2
48	eitanzaki	1
48	Fullut	1
48	Awyrlas	1
48	r123moore	1
48	noam464	1
48	Hyp3rion_	1
48	lcvezra	1
48	Skippeh	1
