rank	username	minecraft:dropped/minecraft:firework_star
1	Hyp3rion_	27203
2	Jackattack53	17129
3	beeperbeeper5	576
4	hanaryheatwave	540
5	Yamdalorian	274
6	Smashic	192
7	noam464	128
8	luseis	64
9	Akoot_	42
10	pintsizedrogue	21
11	Raltemoxitonica	17
12	lorpus	16
12	EveryonesUncle	16
14	eitanzaki	8
15	TildaAndrea	7
16	Jimb0nat0r	6
17	_Virify_	4
17	hm947	4
17	Bloo2406	4
17	EcksD	4
21	Chromary	3
22	Sabby65	2
22	TheSecondLord	2
22	_Mythic____	2
25	Creativebuilder2	1
25	kekhon	1
25	mimbo1211	1
25	oscminus	1
25	SkateboardR6	1
25	Eraxa	1
25	stellarjay	1
25	AltnumberF4	1
