rank	username	minecraft:dropped/minecraft:iron_hoe
1	eitanzaki	27
2	Di_infiri	22
3	FreakGenius	20
4	luseis	17
5	beeperbeeper5	10
5	MovingFish7	10
5	Enderxz3	10
8	Blackberry1310	8
8	Cryptacity	8
8	kekhon	8
8	burbankbuilder28	8
12	PigDab	7
13	pintsizedrogue	6
13	TheSecondLord	6
13	Werbe	6
13	_Hayt	6
13	Hermanni__	6
13	AdmiralSmoke	6
19	diamondgolem35	5
19	rarrq	5
19	noam464	5
19	lcvezra	5
19	PortlyPete69	5
19	Njensen7	5
25	EMC_	4
25	Ryan_GEMS	4
25	Ssor69	4
25	set67	4
25	PegLegPete93	4
25	Kakolbus	4
25	whoaluv	4
25	thewindmillman	4
25	Zoeyfortnite	4
34	Malorn_Aetherius	3
34	thescout7	3
34	Xalithia	3
34	fallingemma	3
34	Mattesco	3
34	Akoot_	3
34	TheTrueClipse	3
34	Fuad_R	3
34	MightyWertu	3
34	starbits140	3
34	nonarso	3
34	MirielThePastor	3
46	heysushii	2
46	PhantomsGhost_	2
46	Frozil20	2
46	I_Am_Mushkin	2
46	KarlKaek	2
46	ImpavidArcher	2
46	Sabby65	2
46	Killercatty78	2
46	H72l9w	2
46	Comma__	2
46	jushykins	2
46	Raspberry_Sodas	2
46	ProfessorBee	2
46	_Nuf	2
46	boog4loo	2
46	Smashic	2
46	Mewar	2
46	Marbz_	2
46	Chromary	2
46	wTXop	2
46	Hiryu27	2
46	seramalen	2
46	zToasty69z	2
46	Luminad3	2
46	Lord_Jord	2
46	masskedman	2
46	Jiminbub	2
46	Avocadogerms	2
46	fluddd	2
46	the__Reaper4999	2
46	Racengan	2
46	monky_irl	2
46	Ze_BaronKrigler	2
46	Razzgriz	2
46	33sudo	2
46	07shiny	2
46	Kowcio_	2
46	MineMaster0012	2
46	Segotep999	2
46	djancak	2
46	Luigipunch989	2
46	OfficerAnvil	2
46	youarefrench_	2
46	anbbang	2
46	EcksD	2
46	cichy096	2
46	QueenOfDirt	2
46	HesDemonPants	2
46	skrongus	2
46	xolstoi	2
96	jojo1515151	1
96	Lepthymo	1
96	funeralhome	1
96	Mr_Anders	1
96	Bandito_Roamer	1
96	_Virify_	1
96	Froste131	1
96	Crowvens	1
96	_Huge_Male_	1
96	Deu_Stew	1
96	Harotio	1
96	MixerDixer	1
96	Jalvajar	1
96	fanofbands101	1
96	BPTY4618	1
96	dabloons	1
96	SmashingPump	1
96	ECstardust	1
96	marguerit3	1
96	shineh10	1
96	Iagoku	1
96	SaucyDark	1
96	tuckerdoodle	1
96	Wooptey	1
96	RebelAndroid	1
96	Ryker	1
96	Rasaq	1
96	livingdaydreams	1
96	ewsophie	1
96	jimintyy	1
96	SyntheticSurgeon	1
96	AlazelTheReal	1
96	YairZaki	1
96	Lez_	1
96	joethahobo	1
96	roxycherry	1
96	bloodbiter	1
96	ThePoliteG	1
96	SoftSix	1
96	_Dean_123	1
96	Jokerman369	1
96	Fullut	1
96	AngalexikCZ	1
96	crying_wolf_13	1
96	Hanselhoof	1
96	Dali1465	1
96	fade_emerge78823	1
96	KGTV	1
96	surfinggiraffejp	1
96	theonlymagikarp	1
96	RIPB0ZO	1
96	John6970	1
96	Mobstr	1
96	BlueZabu	1
96	mariominejedi	1
96	Moham	1
96	CarltheCuck	1
96	ChillenChiggen	1
96	SlayerCrypto	1
96	Jackattack53	1
96	Norrhede	1
96	jedi_george	1
96	reiwai	1
96	WET_WET_WET	1
96	Arceus1975	1
96	Hyp3rion_	1
96	Snowflowe	1
96	DaviusMaximoose	1
96	RyuNeko932000	1
96	thebaddruid	1
96	WarMachina	1
96	selectrix	1
96	Afinnity	1
96	MinerDec	1
96	epiksk8erduck	1
96	LeGold	1
96	cedric72	1
96	jewbacaman	1
96	DC_XII	1
96	XeroByMyth	1
96	YahooScreen9000	1
96	HoldThatPee	1
96	KliBeast21	1
96	Maenara	1
96	Nicky19	1
96	Wowful	1
96	Inbefour	1
96	Lord_Zacler	1
96	Gryglu583	1
96	EveryonesUncle	1
96	fkGrim	1
96	NYJ	1
96	Tiktola01	1
96	QuacksonThe3rd	1
96	Tyrannosplart	1
96	ebanana	1
96	Beagle_Boy	1
96	NameGenerat0r	1
96	Shogunite	1
96	StinkyDiplomat	1
96	OreoPenguin_	1
96	censorsheep	1
96	Xclax101	1
96	Cyntrical	1
96	RedcatVII	1
96	TheImperial	1
96	VilsSwag	1
96	MS_Pryxx	1
96	Warlord324	1
96	SkateboardR6	1
96	mihimihimihi	1
96	lordpipe	1
96	JackyKwacky	1
96	Cocoamallows	1
96	Tibbby	1
96	BuildTheGondola	1
96	kyouma777	1
96	Kyrum2169	1
96	somegirl12_	1
96	__tomato	1
96	brofrickcheaters	1
96	tsitrawhy	1
96	xzvu	1
96	PlzNoBM	1
96	Deguns123	1
96	jcool7	1
96	athereall	1
96	Rainaldus	1
96	VentiHilton	1
96	erkada	1
96	Ezekson	1
96	ConnorDanky_	1
96	RadarHz	1
96	smogfrog	1
96	Nicserso	1
96	UrbanPlanningEx	1
96	PlasticOtari	1
96	561cool	1
96	00000000-0000-0000-0009-01faf4342590	1
