rank	username	minecraft:dropped/minecraft:red_nether_bricks
1	thewindmillman	9735
2	k_ce	3938
3	noam464	774
4	shadowthemonkey	193
5	Kowcio_	128
6	Snowflowe	102
7	Lez_	64
7	Hyp3rion_	64
9	MilleGrug	54
10	LuvLuvLove	47
11	kekhon	38
12	whoaluv	24
13	PazinGaming	22
14	livingdaydreams	21
14	taengoos	21
16	ooga47	10
17	Gregward_Smith	6
18	beeperbeeper5	5
19	eitanzaki	4
20	Sabby65	3
20	stavgod	3
22	F_Uhre	2
23	rarrq	1
23	m_be9	1
23	Studio4x32	1
23	Rebytre	1
23	TheShyPig	1
23	emreknugrlu	1
23	jcool7	1
23	00000000-0000-0000-0009-01fe065167f0	1
