rank	username	minecraft:dropped/minecraft:cooked_rabbit
1	RealGroot	15
2	jnp_gaming	13
3	Di_infiri	12
4	eitanzaki	10
4	Chromary	10
6	luseis	7
7	Lez_	6
7	Spacewardharpy7	6
9	beeperbeeper5	5
9	Euclidoris	5
9	kekhon	5
9	ProfessorBee	5
9	noam464	5
9	Blu3beast	5
9	Ezekson	5
9	TechnoNinja64	5
17	ImNotYuqii	4
17	Blackberry1310	4
17	Hyp3rion_	4
17	Voxin2K	4
17	ElectricDragon81	4
17	YungMaki	4
17	KingMatthew506	4
17	EcksD	4
25	Mahoose	3
25	H72l9w	3
25	Mewar	3
25	Skylord_Luke	3
25	Onennon	3
25	FishyBoy3811	3
25	EveryonesUncle	3
32	Ardennes	2
32	RobotMinion101	2
32	yulgur1	2
32	Tyrannosplart	2
32	Racengan	2
32	Toriankel	2
32	Powowowow	2
39	Bandito_Roamer	1
39	diamondgolem35	1
39	ImpavidArcher	1
39	SaucyDark	1
39	RebelAndroid	1
39	ZaneABrain	1
39	Vizzoid	1
39	legal_tax_evader	1
39	Jackattack53	1
39	thewindmillman	1
39	NNikitas	1
39	ougstur	1
39	ZA07	1
39	SaintJosie	1
39	Akoot_	1
39	Wowful	1
39	DarlaMeow	1
39	RedcatVII	1
39	lcvezra	1
39	Smoke____	1
