rank	username	minecraft:dropped/minecraft:beetroot_soup
1	kekhon	78
2	beeperbeeper5	22
3	Yamdalorian	18
4	Blackberry1310	14
5	Bad_At_Names_Guy	10
5	Quaintster	10
7	pintsizedrogue	4
7	SteveCraftBlocks	4
7	TechnoNinja64	4
10	MattieHD	3
10	wTXop	3
10	thgrocks	3
10	_TCARREIRA_	3
10	Njensen7	3
15	Natty	2
15	Civop_	2
15	12Magner05	2
15	500am	2
15	fallingemma	2
15	Akoot_	2
15	Eraxa	2
15	es0th	2
23	Groovy_MoonBird	1
23	Mahoose	1
23	ratglock	1
23	Tiberonus	1
23	TheSeismicDuck	1
23	QueenShuvi	1
23	SammiWolfGirl	1
23	Jimb0nat0r	1
