rank	username	minecraft:dropped/minecraft:prismarine_stairs
1	CliffEmAll	192
2	rarrq	59
3	Soplight	36
4	Fullut	20
5	eitanzaki	16
6	hm947	13
6	ratglock	13
8	xxPipperDipperxx	12
9	Di_infiri	10
10	Frozil20	9
11	ConnorDanky_	8
12	h2p_emrld	5
13	Jackattack53	3
14	TheSecondLord	1
14	TheShyPig	1
14	Inbefour	1
14	Spacewardharpy7	1
