rank	username	minecraft:dropped/minecraft:spruce_door
1	fkGrim	36
2	pintsizedrogue	29
3	PigDab	28
4	El_Jalapeno	25
5	kekhon	24
6	beeperbeeper5	20
6	Segotep999	20
8	Akoot_	19
9	k_ce	18
10	hm947	16
10	eitanzaki	16
12	John6970	15
13	diamondgolem35	14
14	Inchef	13
14	Onennon	13
16	Paleshield	12
16	Blackberry1310	12
16	TheSecondLord	12
19	SvenskaHugo	11
20	Lez_	10
20	500am	10
22	_Huge_Male_	9
22	Tommhh	9
22	Shogunite	9
22	FreakGenius	9
22	MovingFish7	9
22	Ze_BaronKrigler	9
22	SSytex_X	9
29	Jovaphobic	8
29	Incinere	8
29	rarrq	8
29	Di_infiri	8
29	Skylord_Luke	8
34	Mahoose	7
34	Mattesco	7
34	Spacewardharpy7	7
37	SmashingPump	6
37	ImpavidArcher	6
37	lunathelemon	6
37	Uzbeki_John	6
37	Paintz	6
37	Kakolbus	6
37	sammidk	6
37	Tyrannosplart	6
37	Groundler	6
37	AdmiralSmoke	6
47	noam464	5
47	TheDankPlatypus	5
47	ClemenPine	5
47	IamCL4SSY	5
47	EveryonesUncle	5
47	Dakar_	5
47	Racengan	5
47	UCP_TheKingK	5
47	Ezekson	5
47	Wolverine4302	5
57	H0UNDFRMH3LL	4
57	Groovy_MoonBird	4
57	Wooptey	4
57	Kkanot	4
57	surfinggiraffejp	4
57	BlueZabu	4
57	burbankbuilder28	4
57	Mr_Sun15	4
57	HolyVenom	4
57	Manaateee	4
57	Blu3beast	4
57	Xclax101	4
57	AnonymousUserr	4
57	Steelynan	4
71	Froste131	3
71	PhantomsGhost_	3
71	PazinGaming	3
71	T045RTY	3
71	Prismyst	3
71	joethahobo	3
71	Cryptacity	3
71	Allanon1235	3
71	fr_ser	3
71	Jackattack53	3
71	wTXop	3
71	_Karmaa	3
71	NameGenerat0r	3
71	Blaiku	3
71	NebulousBadger	3
71	Eraxa	3
71	Kowcio_	3
71	obzii	3
71	Njensen7	3
71	Skippeh	3
71	BreadBacon	3
71	AltnumberF4	3
71	UrbanPlanningEx	3
71	00000000-0000-0000-0009-01ff0c3e5e4f	3
95	MuffinManzz	2
95	ECstardust	2
95	Frozil20	2
95	SaucyDark	2
95	ITDV	2
95	Swexti	2
95	Malorn_Aetherius	2
95	Crowman1	2
95	Notta	2
95	shdesolt	2
95	Comma__	2
95	12Magner05	2
95	Guillemet	2
95	_Dean_123	2
95	Jokerman369	2
95	boog4loo	2
95	2Stout	2
95	imcombxt	2
95	IceYoung	2
95	platinumzero	2
95	fallingemma	2
95	Chromary	2
95	pappaberg	2
95	Krowuss	2
95	Hiryu27	2
95	oscminus	2
95	TheWildMateo	2
95	zToasty69z	2
95	lizardfightclub	2
95	SaintJosie	2
95	Wowful	2
95	Jiminbub	2
95	_Bguette_	2
95	Tiktola01	2
95	Quincannon	2
95	claivin	2
95	StinkyDiplomat	2
95	MAns_44	2
95	censorsheep	2
95	lolpoottoot	2
95	silverpopcorn	2
95	ItsDeltaMC	2
95	Lirael42	2
95	Majonezzon	2
95	Shin69	2
95	AssFullaCum	2
95	Kyrum2169	2
95	Soplight	2
95	DontHaveKick	2
95	Chuglyfe	2
95	PortlyPete69	2
95	CoryJJ	2
95	CalebDHawk	2
95	jcool7	2
95	LeeMcGee30	2
95	alderban107	2
95	_KuruKuru	2
95	ConnorDanky_	2
95	Enderxz3	2
95	Powowowow	2
155	MunkaKris	1
155	SaltineDream	1
155	Louiis123	1
155	Badenbeele	1
155	jspwn	1
155	lewieinnit	1
155	EMC_	1
155	Sleek_Storm_721	1
155	Gemstuff	1
155	RebelAndroid	1
155	Ryker	1
155	nattybears	1
155	Alteriity	1
155	Historical_Sand	1
155	Sleepy_Time_	1
155	m_be9	1
155	MattieHD	1
155	redikul	1
155	Smashic	1
155	crying_wolf_13	1
155	Trixididntdie	1
155	Covalents	1
155	SpicyMeatballs	1
155	Bazongoman	1
155	Winklepicker279	1
155	Rumpletaezer	1
155	Hyp3rion_	1
155	Bumpy419	1
155	Shiirazu	1
155	wrinkledpiglet	1
155	MonitorLizards	1
155	parodypatient	1
155	AuroraSkies	1
155	NomadicRobin_	1
155	Agent108	1
155	Inbefour	1
155	luseis	1
155	Deodorante	1
155	KermitTheKripple	1
155	Fuad_R	1
155	EfficientC52	1
155	GravitySaint	1
155	_k2x	1
155	SUN_DREAM	1
155	lordpipe	1
155	CheifJumbo	1
155	tonyth3tiger	1
155	carbo_bro	1
155	pixelviolin	1
155	MineMaster0012	1
155	SammiWolfGirl	1
155	HAruSAme14	1
155	al626win52	1
155	Rainaldus	1
155	Haadrada	1
155	EcksD	1
155	cichy096	1
155	Spacy_Butsch123	1
155	Nicserso	1
155	TechnoNinja64	1
155	skrongus	1
155	xolstoi	1
155	CrazyPotater	1
155	WYFYoyo	1
155	Teebone15	1
