rank	username	minecraft:dropped/minecraft:green_glazed_terracotta
1	joethahobo	74
2	Snowflowe	63
3	noam464	40
4	lordpipe	26
5	Spacewardharpy7	20
6	eitanzaki	12
7	AlexxO_o	2
8	Steelynan	1
