rank	username	minecraft:dropped/minecraft:dark_oak_sign
1	eitanzaki	459
2	Snowflowe	179
3	noam464	100
4	beeperbeeper5	89
5	kekhon	83
6	Werbe	72
6	AssEatrAndLicker	72
8	lordpipe	68
9	lillips	49
10	Sky_light_KING	46
11	stahouo	37
12	Soplight	32
13	Historical_Sand	31
14	NatrixxddxYT	30
14	Blu3beast	30
16	thescout7	29
16	Blaiku	29
18	rarrq	26
19	Blackberry1310	24
19	NameGenerat0r	24
21	Freak_Genius	23
21	jnp_gaming	23
23	CliffEmAll	22
24	Powowowow	18
25	pintsizedrogue	17
25	The_slideV3	17
27	JohnnyFyes	16
27	TheSecondLord	16
27	gabriels543	16
30	Ardennes	15
30	SLASHZEERA	15
30	HellsSponge	15
33	TildaAndrea	14
33	ImpavidArcher	14
33	benediktine1	14
33	Di_infiri	14
33	Hyp3rion_	14
38	__tomato	13
38	Vellu21	13
40	Smoke____	12
41	Merv__	11
41	T045RTY	11
41	500am	11
41	chipklip	11
41	Kyrum2169	11
46	fluddd	10
47	Jackattack53	9
47	FishyBoy3811	9
47	Racengan	9
47	EcksD	9
51	_Boipl_	8
51	sebastiensaborio	8
51	Faart	8
54	Mahoose	7
54	Uzbeki_John	7
54	thewindmillman	7
54	tsitrawhy	7
54	oxfordschool	7
59	ItsColin11	6
59	Swexti	6
59	Awyrlas	6
59	k1ngGilgamesh	6
59	EveryonesUncle	6
59	Karbl	6
59	SkateboardR6	6
59	Dusk_95	6
59	PortlyPete69	6
59	HesDemonPants	6
59	Zoeyfortnite	6
70	Incinere	5
70	Tjhodskins19	5
70	Hiryu27	5
70	Lord_Jord	5
70	Frozil12	5
70	Spacewardharpy7	5
70	Eraxa	5
70	Hermanni__	5
70	Nicserso	5
70	WYFYoyo	5
70	JayToe	5
81	m_be9	4
81	XboxPanda	4
81	HappySkidder	4
81	AnnieBathory	4
81	RodSerlingCringe	4
81	Maenara	4
81	Akoot_	4
81	audiocracked	4
81	Groundler	4
81	KG1999	4
81	CalebDHawk	4
81	Dreamdbr14	4
81	Enderslayerxz3	4
94	pZygh0st	3
94	heckface	3
94	Rich_Kat	3
94	AngalexikCZ	3
94	ketaminmann	3
94	ROY4LE	3
94	fr_ser	3
94	burbankbuilder28	3
94	NomadicRobin_	3
94	_Karmaa	3
94	censorsheep	3
94	JackyKwacky	3
94	Optiprimus	3
94	YungMaki	3
94	jcool7	3
94	Njensen7	3
94	KingMatthew506	3
94	smogfrog	3
94	2blox	3
94	TechnoNinja64	3
94	kinas45y5	3
115	Groovy_MoonBird	2
115	JEWISHBadenBeele	2
115	SaucyDark	2
115	wickedword	2
115	Franco093	2
115	Vizzoid	2
115	SDMNAEK	2
115	jushykins	2
115	jacxhadow	2
115	Nicky_H225	2
115	redikul	2
115	paranoid_plant	2
115	SpicyMeatballs	2
115	SullyhS	2
115	Doom_melon	2
115	Lil_Breadboy	2
115	SuperPooch06	2
115	Arceus1975	2
115	ooga47	2
115	Spenduh	2
115	SammiWolfGirl	2
115	_TCARREIRA_	2
115	Poppy235	2
115	VentiHilton	2
115	anbbang	2
115	EcksDofficial	2
115	h2p_emrld	2
142	Jovaphobic	1
142	PhantomsGhost_	1
142	_stets	1
142	teslawolf38	1
142	6king6colt6	1
142	I_Am_Mushkin	1
142	Nesquiczek	1
142	CompAir	1
142	Isaac70096	1
142	_Razar	1
142	Zippyzam	1
142	Wooptey	1
142	awesomeoneme	1
142	NinjaKnifeKill	1
142	joethahobo	1
142	tramizu	1
142	Whiterooster001	1
142	OwenBrew	1
142	Euclidoris	1
142	Shadoko_	1
142	Auseawesome	1
142	BobDeBouwer1337	1
142	jiggywraps	1
142	YungJakobo	1
142	MattieHD	1
142	ProfessorBee	1
142	Fullut	1
142	emrekn	1
142	eviltunix	1
142	intropass	1
142	xxPipperDipperxx	1
142	gcaisawesome	1
142	Feir_	1
142	Mouse74	1
142	CollinMH06	1
142	AssaultZone	1
142	StarPlanetMoon	1
142	ApophisNova	1
142	Onennon	1
142	iElijah	1
142	Inbefour	1
142	NoChumpChange	1
142	fkGrim	1
142	avalan64	1
142	_Bguette_	1
142	Katthaj	1
142	MyNameIsDakar	1
142	Soap_Bender	1
142	claivin	1
142	Nycteus_	1
142	Vorlice	1
142	ayamefag	1
142	sadvavilloso	1
142	MineMaster0012	1
142	BlankityMcBlank	1
142	starbits140	1
142	Sheldor097	1
142	Skippeh	1
142	Ezekson	1
142	cichy096	1
142	MyNamaSheff	1
142	vandmanden	1
142	Sral7	1
142	FishisTTV	1
