rank	username	minecraft:dropped/minecraft:blue_concrete
1	thewindmillman	559
2	lordpipe	216
3	Xclax101	196
4	HyperCave	186
5	Blaiku	135
6	Sheldor097	132
7	eitanzaki	104
8	stahouo	95
9	beeperbeeper5	74
10	oxfordschool	65
11	MakeHistory157	64
12	jnp_gaming	63
13	Soplight	55
14	noam464	42
15	Inchef	33
16	XboxPanda	30
17	cichy096	17
18	Klerick	13
19	Blackberry1310	12
20	rarrq	11
20	Jackattack53	11
22	Hyp3rion_	7
22	laron58	7
24	Kyrum2169	6
24	__tomato	6
24	TechnoNinja64	6
27	Werbe	5
28	Mahoose	4
28	LoboTheLobster	4
28	jushykins	4
28	MrExplorer	4
28	gloryoftherain	4
28	CalebDHawk	4
34	MattieHD	3
34	Zythose	3
34	SonicRainBow_	3
37	Mr_Byzantine	2
37	ProbablyNick	2
37	Frozil20	2
37	__Fanda__	2
37	TheShyPig	2
37	Akoot_	2
37	HellsSponge	2
44	SteveCraftBlocks	1
44	Kazekage	1
44	2Stout	1
44	Di_infiri	1
44	DAD_1996	1
44	OverallConcept	1
44	_Karmaa	1
44	NameGenerat0r	1
44	MightyWertu	1
44	Kubeusz2010	1
44	aubergined	1
44	YoshikageBites	1
44	Yahrto	1
44	Smoke____	1
