rank	username	minecraft:dropped/minecraft:coarse_dirt
1	thewindmillman	19354
2	noam464	1956
3	ApophisNova	1920
3	MyNamaSheff	1920
5	_Bguette_	582
6	lordpipe	530
7	Merv__	507
8	Lez_	368
9	Werbe	285
10	EcksD	259
11	2Stout	205
12	eitanzaki	201
13	kekhon	176
14	Segotep999	171
15	El_Jalapeno	155
16	lcvezra	149
17	Blackberry1310	135
18	AlexxO_o	128
18	SammiWolfGirl	128
20	SpacesickPrism	126
21	Frozil20	125
21	Freak_Genius	125
23	rarrq	124
23	Inchef	124
25	Steelynan	120
26	UCP_TheKingK	119
27	MilleGrug	111
28	thescout7	109
29	Rebytre	103
30	Bad_At_Names_Guy	90
31	__tomato	86
32	Eraxa	83
33	Touched_Bread	80
33	Spacewardharpy7	80
35	abramgray	71
36	SuperPooch06	69
37	bigstankyy	64
37	CoffeeNoir	64
37	Cryptacity	64
37	sadvavilloso	64
37	ProbsNotNova	64
37	fffMike	64
37	Sral7	64
37	Smoke____	64
45	RobotMinion101	59
46	Smashic	58
47	m_be9	57
47	kinas45y5	57
49	pintsizedrogue	56
50	Kowcio_	51
51	Fuad_R	48
52	Parcc	44
53	Legendosh	42
54	RodSerlingCringe	38
54	GravitySaint	38
56	Unitas_isa	35
56	burbankbuilder28	35
58	Zedducius	34
58	Di_infiri	34
60	Fizznut909	33
61	PortlyPete69	32
61	obzii	32
63	PhantomsGhost_	31
64	Jovaphobic	30
64	Fullut	30
66	Chromary	27
67	StylesK	24
67	WyngGoy	24
69	Nicserso	23
69	Enderslayerxz3	23
71	beeperbeeper5	22
71	_TCARREIRA_	22
73	slkiey	19
73	Arceus1975	19
75	surfinggiraffejp	18
76	potatocan	17
77	mariominejedi	16
77	Doom_melon	16
79	BronkerBrum	13
80	MyNameIsDakar	12
80	Soplight	12
82	Incinere	11
82	Lord_Zacler	11
82	Dusk_95	11
85	Historical_Sand	10
85	Winklepicker279	10
85	_Karmaa	10
85	UrbanPlanner1978	10
89	lizardfightclub	9
90	ImpavidArcher	8
90	Blaiku	8
90	Sheldor097	8
93	AlexStrange	7
93	33sudo	7
93	EcksDofficial	7
93	h2p_emrld	7
97	_Nuf	6
97	500am	6
97	loveseeker	6
97	Onennon	6
97	epiksk8erduck	6
97	TheShyPig	6
103	Groovy_MoonBird	5
103	SpicyMeatballs	5
103	Blu3beast	5
103	Chuglyfe	5
103	TechnoNinja64	5
108	Menthas	4
108	T045RTY	4
108	Mahoose	4
108	NieToksikpl	4
108	eviltunix	4
108	eiC_	4
108	Jackattack53	4
108	kars0n	4
108	Kynigito	4
108	Sky_light_KING	4
108	NameGenerat0r	4
108	Shogunite	4
108	freya__b	4
108	ayamefag	4
108	Dr0xzy	4
108	cichy096	4
124	SaltineDream	3
124	Nicky_H225	3
124	G1ldor	3
124	Kakolbus	3
124	Corbsman	3
124	k1ngGilgamesh	3
124	chipklip	3
124	QueenShuvi	3
124	stahouo	3
124	stellarjay	3
124	Hermanni__	3
135	elicobnoah	2
135	FroggoTheDoggo	2
135	awesomeoneme	2
135	SquadMonster	2
135	Ssor69	2
135	ProfessorBee	2
135	MyNameIsJobo	2
135	Hyp3rion_	2
135	MangoTheFish	2
135	Soap_Bender	2
135	The_slideV3	2
135	YungMaki	2
135	Luigipunch989	2
135	Eczbek	2
135	jnp_gaming	2
135	Faart	2
151	THExMuffinx	1
151	Ze1ig	1
151	EMC_	1
151	KarlKaek	1
151	TheMilkerOfCats	1
151	Franco093	1
151	joethahobo	1
151	Swexti	1
151	heckface	1
151	Euclidoris	1
151	ratglock	1
151	_Dean_123	1
151	blockgamer_69	1
151	Tmb1	1
151	Master_Kol	1
151	Covalents	1
151	Karetoko	1
151	Zythose	1
151	RefluxRatio	1
151	Voxin2K	1
151	The11thDoctor	1
151	seramalen	1
151	Rasmanden	1
151	Blamphe	1
151	Jiminbub	1
151	fluddd	1
151	Typadopoulos	1
151	bruh072	1
151	MakeHistory157	1
151	Nagasaki_Riku	1
151	Miko_Fullbuster	1
151	oxfordschool	1
151	Wolverine4302	1
