rank	username	minecraft:dropped/minecraft:magenta_shulker_box
1	thewindmillman	132
2	Hyp3rion_	109
3	jnp_gaming	13
4	djancak	10
5	thescout7	5
5	Di_infiri	5
7	eitanzaki	4
7	ROY4LE	4
7	noam464	4
7	Bumpy419	4
11	Mahoose	3
11	joethahobo	3
11	lillips	3
11	Blaiku	3
11	Eraxa	3
16	Lez_	2
16	Blackberry1310	2
16	MattieHD	2
16	500am	2
16	2Stout	2
16	TheShyPig	2
16	Akoot_	2
16	wezzzi	2
16	YungMaki	2
25	PhantomsGhost_	1
25	livingdaydreams	1
25	kekhon	1
25	SteveCraftBlocks	1
25	Fullut	1
25	mwrty	1
25	fade_emerge78823	1
25	rpyoungg	1
25	Hiryu27	1
25	k1ngGilgamesh	1
25	F_Uhre	1
25	fxiryglitch	1
25	luseis	1
25	Karbl	1
25	RoofTyler	1
25	Blu3beast	1
25	Xclax101	1
25	rezi	1
25	fluddd	1
25	sadvavilloso	1
25	gusstationwerker	1
25	_Yonk_	1
25	Njensen7	1
25	ConnorDanky_	1
25	EcksD	1
25	Legendosh	1
25	Zoeyfortnite	1
