rank	username	minecraft:dropped/minecraft:fermented_spider_eye
1	noam464	1729
2	PigDab	491
3	kekhon	124
4	eitanzaki	104
5	set67	44
6	Blaiku	32
7	beeperbeeper5	28
8	Nicserso	26
8	Smoke____	26
10	HellsSponge	21
11	TechnoNinja64	20
12	mwrty	16
13	thescout7	6
13	thewindmillman	6
15	TheSecondLord	5
15	Powowowow	5
17	KomputerDude	4
17	MilleGrug	4
19	chipklip	3
20	LeeMcGee30	2
21	q_wq	1
21	Euclidoris	1
21	Prodiginus	1
21	Kamflame10	1
21	xxPipperDipperxx	1
21	Windo_licker	1
21	Arceus1975	1
21	Hyp3rion_	1
21	Xclax101	1
21	Hisiste	1
21	stavgod	1
21	djancak	1
