rank	username	minecraft:dropped/minecraft:purple_glazed_terracotta
1	Hyp3rion_	123
2	joethahobo	64
3	Krowuss	45
4	Blaiku	44
5	Werbe	26
6	Di_infiri	24
7	EcksD	16
8	Tyrannosplart	14
9	noam464	13
10	eitanzaki	12
11	MakeHistory157	10
12	thewindmillman	8
13	Incinere	7
13	lunkuku	7
15	Secret_Canary	6
15	lordpipe	6
17	Merv__	4
17	StanceTB	4
17	PlasticOtari	4
20	YungMaki	3
21	MrKrabOnCoke	2
21	WyngGoy	2
21	PortlyPete69	2
21	Vellu21	2
25	beeperbeeper5	1
25	kekhon	1
25	TheShyPig	1
25	djancak	1
25	__tomato	1
