rank	username	minecraft:dropped/minecraft:andesite
1	Frozil20	76268
2	PigDab	54294
3	Spacewardharpy7	36301
4	noam464	28486
5	Ezekson	24392
6	Hyp3rion_	16163
7	joethahobo	13713
8	Blaiku	13015
9	gcaisawesome	11653
10	YungMaki	11562
11	beeperbeeper5	11229
12	Di_infiri	10937
13	Chromary	10600
14	12Magner05	10429
15	EcksD	10136
16	Werbe	10059
17	eitanzaki	8563
18	lordpipe	8183
19	TechnoNinja64	6366
20	FallenCorps	6345
21	Iamthejo	6192
22	EMC_	5815
23	FreakGenius	5389
24	Skippeh	5306
25	Steelynan	4956
26	MirielThePastor	4486
27	Franco093	4384
28	thewindmillman	4283
29	kekhon	3991
30	non089	3974
31	ProfessorBee	3933
32	gusstationwerker	3551
33	Esme_1	3543
34	The11thDoctor	3482
35	Fullut	3218
36	Hisiste	3200
37	pintsizedrogue	3131
38	vandmanden	3070
39	xzvu	3015
40	LordSpeed37	2878
41	RealGroot	2863
42	HellsSponge	2798
43	livingdaydreams	2785
44	Bumpy419	2773
45	TheSecondLord	2763
46	TheShyPig	2737
47	Jackattack53	2733
48	lillips	2726
49	thescout7	2656
50	h2p_emrld	2588
51	Blu3beast	2557
52	Smoke____	2493
53	GlitchyPlate810	2478
54	Blackberry1310	2471
55	Swexti	2297
56	rarrq	2227
57	Kowcio_	2211
57	FelixPSY375	2211
59	Racengan	2143
60	mwrty	2128
61	Rumpletaezer	2101
62	EveryonesUncle	2060
63	Mahoose	1956
64	jnp_gaming	1915
65	fluddd	1906
66	Skylord_Luke	1837
67	diamondgolem35	1827
68	MilleGrug	1718
69	Inchef	1708
70	alderban107	1689
71	PlzNoBM	1659
72	Zoeyfortnite	1642
73	NameGenerat0r	1630
74	Hermanni__	1598
75	lotarp	1581
76	CoffeeNoir	1513
77	Ecplosive	1470
78	WET_WET_WET	1459
79	UncreativeArtist	1451
80	SaucyDark	1445
81	Onennon	1415
82	m_be9	1391
83	NomadicRobin_	1387
84	Kura2218	1367
85	Groovy_MoonBird	1310
86	Wooptey	1304
87	Xclax101	1299
88	Tyrannosplart	1292
89	SuperPooch06	1289
90	T045RTY	1280
91	Njensen7	1256
92	claivin	1254
93	_Virify_	1209
94	El_Jalapeno	1195
95	mariominejedi	1189
96	ImpavidArcher	1177
97	Kakolbus	1174
98	_Dean_123	1152
99	PhantomsGhost_	1121
100	Toriankel	1080
101	Eraxa	1063
102	__tomato	1039
103	SkateboardR6	1032
104	PortlyPete69	1001
105	Groundler	997
106	500am	979
107	Winklepicker279	968
108	_Nuf	967
108	weabis	967
110	RoofTyler	953
111	Kyrum2169	941
112	XboxPanda	934
113	boog4loo	922
114	set67	921
115	xolstoi	911
116	SUN_DREAM	889
117	Corbsman	883
118	Jiminbub	872
119	I_Am_Mushkin	861
120	Rasmanden	845
121	SSytex_X	826
122	Enderxz3	822
123	gabriels543	818
124	Paintz	813
125	yulgur1	806
126	jcool7	794
127	Uzbeki_John	792
128	teslawolf38	789
129	drunkeeez	773
130	Smashic	740
131	trexgb	737
132	anbbang	735
133	r123moore	730
133	FishisTTV	730
135	SpaceGrenadier	728
136	Soplight	727
137	Wowful	712
138	UrbanPlanningEx	702
139	soundad	699
140	Akoot_	698
140	Eczbek	698
142	LAVA129	691
143	FishyBoy3811	689
144	MangoTheFish	687
145	KliBeast21	686
146	MuffinManzz	677
146	Arceus1975	677
148	CrateOfBoxes	666
149	fkGrim	663
150	Dusk_95	647
151	ConnorDanky_	641
152	luseis	635
153	Beagle_Boy	634
154	CollinMH06	630
155	monky_irl	629
156	bigstankyy	628
157	Houstonion	624
158	wezzzi	622
159	BoraMC	621
160	Awyrlas	607
161	Dogcorn69420	596
162	surfinggiraffejp	594
162	BlankityMcBlank	594
164	_k2x	593
165	Nicserso	584
166	Sleek_Storm_721	580
167	Powowowow	570
168	lcvezra	564
169	jewbacaman	561
170	1442	555
171	Nicky_H225	553
172	Sheldor097	550
173	ColeSnyder	547
174	Sabby65	543
174	Cocoamallows	543
176	NotKaden_	539
177	Incinere	537
178	prizm_	531
179	SellyZ	527
180	Humpcat	516
181	OverallConcept	507
182	DTwenty	503
182	SammiWolfGirl	503
184	hm947	502
184	SquadMonster	502
186	Fuad_R	500
186	Kukkelikuk	500
188	geekbird	499
188	Teebone15	499
190	Quaintster	492
191	AuroraValkyrie	489
191	IdeallyGrey	489
193	NYJ	486
194	eviltunix	484
194	brofrickcheaters	484
196	Lord_Jord	482
197	__Auspicious	480
198	Lez_	478
199	CadenSteele	474
200	MattieHD	469
201	BigCronkin	468
202	xxPipperDipperxx	460
203	malgosia14	459
204	Hiryu27	454
205	_TCARREIRA_	447
206	ougstur	446
207	Azmodan_246	444
208	JohnnyFyes	443
209	Inbefour	440
210	bladeefan2009	436
211	BlancoFlaco	435
212	6king6colt6	432
212	Ssor69	432
214	mihimihimihi	427
215	gaziter10	426
215	MovingFish7	426
217	Strangemonkey71	423
218	RebelAndroid	422
219	NieToksikpl	420
220	H72l9w	408
221	lorpus	406
222	_Razaria	404
222	Da_Boss_Rani	404
222	Mattesco	404
225	Mythic1130	400
226	Hail_the_wombat	398
227	Froste131	397
227	Maenara	397
229	Rebytre	396
229	Lord_Doob	396
231	RedcatVII	395
232	SaintJosie	392
233	NatalieTW	391
234	KujikawaRisechi	387
235	layabout100	384
236	BobDeBouwer1337	378
237	Historical_Sand	377
238	ZA07	376
238	IAmTheWalrus910	376
240	Majonezzon	372
241	dudcreeper	368
242	fffMike	367
243	fw3xywashere	363
244	gustarlep	353
245	picardred	350
245	BRRRN179	350
245	Warlord324	350
248	Jonte0599	347
249	M_Patata	342
250	KarlKaek	339
251	Hpdinosaur	336
252	Kubelz	335
253	djancak	331
253	Kferno	331
255	ShedJr_	327
256	WyngGoy	326
257	Luigipunch989	325
258	_Yonk_	323
259	Cowison	320
259	TakeThis2UrGrave	320
261	hcb238	319
261	ClemenPine	319
263	binman420	316
264	benediktine1	315
264	whoaluv	315
264	SvenskaHugo	315
267	Hoid_the_Roamer	314
268	titanlax	311
269	emrekn	310
270	ThiccExotic	309
271	paranoid_plant	308
272	QueenShuvi	307
273	olliebollie48	305
273	Afinnity	305
275	Jackster03	303
276	NoChumpChange	301
277	PeteO1995	300
278	AuroraSkies	299
278	n0qtrnL	299
280	silverpopcorn	298
281	DaviusMaximoose	296
282	ApophisNova	295
282	MyNamaSheff	295
284	Covalents	294
285	CliffEmAll	293
285	eclipseboi	293
285	UltraZombie	293
288	iSammael	286
289	00000000-0000-0000-0009-01f073f37a91	285
290	chipklip	278
291	MightyWertu	276
292	_Karmaa	275
293	Soffbord	273
294	Comma__	272
295	q_wq	270
296	Travka100	268
297	NinjaKnifeKill	265
298	CoryJJ	264
299	stavgod	263
300	MustaLoordi	261
