rank	username	minecraft:dropped/minecraft:birch_planks
1	Hyp3rion_	345735
2	Jackattack53	24002
3	mihimihimihi	20258
4	Spacewardharpy7	15305
5	thewindmillman	5315
6	PigDab	4294
7	eitanzaki	2049
8	EMC_	1098
9	Yamdalorian	747
10	Segotep999	688
11	beeperbeeper5	647
12	Ryan_GEMS	626
13	Nicserso	548
14	_Nuf	505
15	tuckerdoodle	496
16	AlexxO_o	488
17	EcksD	481
18	EveryonesUncle	474
19	Enderxz3	458
20	noam464	427
21	pixelviolin	398
22	Mr_Sun15	348
23	kekhon	343
24	Fuad_R	335
25	Uzbeki_John	334
26	lordpipe	331
27	Akoot_	315
28	Kuragari_	310
29	xzvu	298
30	SirPiccardo	297
31	imcombxt	283
32	_Cloverbelle_	271
33	Blaiku	269
34	Werbe	266
35	PuFY	259
36	TechnoNinja64	241
37	BlancoFlaco	240
38	Di_infiri	237
39	Lez_	223
40	Blackberry1310	214
41	RebytreGT	213
42	FreakGenius	204
43	Zoeyfortnite	193
44	Racengan	192
45	Tyrannosplart	187
46	diamondgolem35	177
47	Mahoose	172
48	Rasmanden	165
48	Spenduh	165
50	AltnumberF4	161
51	Luminad3	157
52	miramyu	156
53	intropass	155
54	SuperPooch06	149
55	Killercatty78	138
56	iElijahi	134
56	Jimb0nat0r	134
56	skitzxo	134
59	Archsam	133
60	pretty_pink_reno	132
61	rarrq	131
62	LeauVox4921	128
63	stavgod	120
64	_Huge_Male_	119
64	Kowcio_	119
64	PortlyPete69	119
67	Kateesaur	116
68	FirsTimeGamingTV	115
68	_Karmaa	115
70	elleparo	112
71	Eraxa	107
71	LeeMcGee30	107
73	WET_WET_WET	104
74	Skylord_Luke	97
75	lizardfightclub	96
76	Niklas20114552	93
76	Wowful	93
78	T045RTY	90
78	TheSecondLord	90
80	UncreativeArtist	87
81	Boboczus	86
82	ImpavidArcher	83
82	sp00ky_ghost977	83
84	xxPipperDipperxx	81
85	diggydog67	80
86	groofles	79
87	CoffeeNoir	78
87	wrinkledpiglet	78
87	Blu3beast	78
90	Mr_Byzantine	75
90	Frozil20	75
90	Steelynan	75
93	SyntheticSurgeon	74
94	Historical_Sand	73
94	Bumpy419	73
96	6king6colt6	72
97	Lord_Jord	71
97	ProbsNotNova	71
99	XboxPanda	70
100	Manaateee	69
101	Arceus1975	68
102	vandmanden	67
103	hm947	66
103	MyNameIsJobo	66
103	MilleGrug	66
106	Rumpletaezer	65
106	E775	65
106	Faart	65
109	Gundam_Steven	64
109	_Dean_123	64
109	KingEgg1	64
109	gloominq	64
109	JoeSaysBingBong	64
109	toos1esl1de	64
109	_TCARREIRA_	64
116	Elastiq	63
117	Truckoss	62
117	cedric72	62
117	Vellu21	62
120	MinttyFressh	60
121	ThePoliteG	59
121	fluddd	59
121	LordSpeed37	59
124	myaccountwasgone	57
124	masskedman	57
124	annebolyn	57
127	teslawolf38	56
127	ProfessorBee	56
127	SvenskaHugo	56
130	Snowflowe	53
130	TheKingK_	53
132	eviltunix	52
133	Smashic	51
134	SteveCraftBlocks	50
134	Soap_Bender	50
134	YungMaki	50
137	OPTOMA_KING	49
137	jnp_gaming	49
139	CarltheCuck	48
139	Krowuss	48
139	cichy096	48
142	Xclax101	47
143	NatalieTW	46
143	Wooptey	46
143	Mercadies	46
146	UltraZombie	45
146	Nargotah	45
148	pr33tu	43
148	fkGrim	43
150	jessemgaming	42
150	lorpus	42
150	impossibleteapot	42
153	Kokeech	41
154	set67	39
154	yulgur1	39
154	Moetis	39
157	k_ce	38
157	Upstro10	38
157	excelsionprime	38
157	Awyrlas	38
157	Patwannabegamer	38
157	Dakar_	38
157	TheTommyGun63	38
157	Powowowow	38
165	Kryktal	37
165	bluefragmentt	37
165	IAmTheWalrus910	37
168	Sleepy_Evelyn	36
168	ItzYaBoiPicard	36
168	seramalen	36
168	LokisCharredFace	36
168	Aezekial	36
168	djancak	36
174	RebelAndroid	33
174	HesDemonPants	33
176	xPixelRainx	32
176	500am	32
178	walll	31
178	BreadBacon	31
180	TrNrGhost	30
180	prizm_	30
180	fallingemma	30
180	SSytex_X	30
180	Kubeusz2010	30
185	CowOfTheNile	29
186	Incinere	28
186	ActualPatbaf	28
186	crashomon	28
186	Mattesco	28
186	emreknugrlu	28
186	Kijiki	28
186	ediballbearings	28
193	Onennon	27
193	EdGalbraith	27
195	Huwulling	26
195	cyrusisntgay	26
195	brycepants	26
195	Groundler	26
195	Ezekson	26
195	Mr_Teddiursa_K	26
201	Chromary	25
202	angpony4267	24
202	Sleek_Storm_721	24
202	gren_ben	24
202	NiveauSubmarine	24
202	Wanjibon	24
207	I_Am_Mushkin	23
207	SOA1RR	23
207	Tiberonus	23
207	TheDankPlatypus	23
207	Hisiste	23
207	SammiWolfGirl	23
213	pintsizedrogue	22
213	dudcreeper	22
213	Jokerman369	22
213	ROY4LE	22
213	U_Mos_	22
213	ApophisNova	22
213	HellsSponge	22
213	Njensen7	22
213	MyNamaSheff	22
222	Ninzyyy	21
222	k1ngGilgamesh	21
222	The_Skramz	21
225	Sabby65	20
225	trixterrx	20
225	Leithz6	20
225	stellarjay	20
229	Cowison	19
229	Tommhh	19
229	Gemstuff	19
229	VDVKmdr_2k04	19
229	NomadicRobin_	19
229	jake314810	19
229	Spacy_Butsch123	19
236	Alteriity	18
236	Touched_Bread	18
236	Meatlaugh	18
236	Not_Insom	18
240	ZaneABrain	17
240	thescout7	17
240	_i_ERROR_i_	17
240	h2p_emrld	17
244	Groovy_MoonBird	16
244	Merv__	16
244	SPUDonSTEROIDS	16
244	CollinMH06	16
244	laron58	16
249	picardred	15
249	True_Clipse	15
249	Buuck_	15
252	Fullut	14
252	Kakolbus	14
252	LoFPS	14
252	shrimp_flips	14
252	UrbanPlanningEx	14
252	Jordan_R	14
258	__tomato	13
258	Soplight	13
260	poopybh	12
260	Stiar	12
260	belly0_0	12
263	Malware_Mara	11
263	Druid95	11
263	DkansK	11
266	_Virify_	10
266	PhantomsGhost_	10
266	lotarp	10
266	Da_Boss_Rani	10
266	RIPB0ZO	10
266	HyperCave	10
266	StormPool	10
266	audiocracked	10
266	handsome_strong	10
266	NameGenerat0r	10
276	heckface	9
276	dendydoom	9
276	SkateboardR6	9
276	alanbleachdemon	9
276	OfficerAnvil	9
281	No_Bena	8
281	Apollo_993	8
281	soundad	8
281	ExtraDumb	8
281	Devintronix	8
281	mwrty	8
281	Inchef	8
281	Diavri	8
281	shadowthemonkey	8
281	SlayerCrypto	8
281	DaviusMaximoose	8
281	AlphaWolfPlaysMC	8
281	Kyrum2169	8
281	KeterComet	8
281	VentiHilton	8
281	Dr0xzy	8
297	12Magner05	7
297	crying_wolf_13	7
297	Setoply	7
297	ImDisconnected_	7
