rank	username	minecraft:dropped/minecraft:light_gray_glazed_terracotta
1	Werbe	129
1	AssEatrAndLicker	129
3	joethahobo	73
4	eitanzaki	51
5	noam464	27
6	kekhon	12
6	oxfordschool	12
6	Nicserso	12
9	beeperbeeper5	6
10	WET_WET_WET	5
11	alderban107	4
12	YungMaki	2
13	ZaneABrain	1
13	KG1999	1
