rank	username	minecraft:dropped/minecraft:blue_dye
1	thewindmillman	1283929
2	noam464	54109
3	Hyp3rion_	8323
4	Jackattack53	2069
5	Typadopoulos	648
6	PlasticOtari	495
7	kyouma777	431
8	kekhon	402
9	Bandito_Roamer	336
10	MousePlays	320
10	Syropatathe	320
12	NinjaKnifeKill	224
13	Lez_	135
13	Werbe	135
15	TheSecondLord	128
15	AltnumberF4	128
17	ConnorDanky_	118
18	BlancoFlaco	104
19	EcksD	78
20	WET_WET_WET	66
21	HellsSponge	65
22	Awyrlas	64
22	Di_infiri	64
22	Snowflowe	64
25	mwrty	63
25	NameGenerat0r	63
27	lillips	62
28	TJawesome09	61
29	livingdaydreams	57
30	beeperbeeper5	53
31	XboxPanda	42
31	vandmanden	42
33	Fullut	35
34	Frozil20	33
35	BRRRN179	24
36	fluddd	20
37	eitanzaki	19
38	SaintJosie	18
38	SSytex_X	18
40	Dali1465	17
41	Blaiku	15
42	_Dean_123	14
43	Blu3beast	13
44	__tomato	11
44	GlitchyPlate810	11
46	pintsizedrogue	10
46	Natty	10
46	UltraZombie	10
46	anbbang	10
46	Ezekson	10
51	StinkyDiplomat	9
51	TechnoNinja64	9
53	_Virify_	8
53	legal_tax_evader	8
55	BPTY4618	7
56	teslawolf38	6
56	r123moore	6
56	binman420	6
59	SaucyDark	5
59	Zippyzam	5
59	rarrq	5
59	Blackberry1310	5
59	CalebDHawk	5
59	Enderxz3	5
65	Swexti	4
65	jushykins	4
65	bloodbiter	4
65	Ecplosive	4
65	whoaluv	4
65	Racengan	4
65	Steelynan	4
72	Huwulling	3
72	Winklepicker279	3
72	SammiWolfGirl	3
72	AstroLightz_	3
72	h2p_emrld	3
77	ProbablyNick	2
77	SmashingPump	2
77	diamondgolem35	2
77	Hpdinosaur	2
77	joethahobo	2
77	H72l9w	2
77	12Magner05	2
77	SuperPooch06	2
77	Arceus1975	2
77	Invisie	2
77	SvenskaAlvar	2
77	ougstur	2
77	Luminad3	2
77	EveryonesUncle	2
77	MightyWertu	2
77	Groundler	2
77	OffWithTheirHead	2
77	lordpipe	2
77	ayamefag	2
77	starbits140	2
77	xzvu	2
98	Groovy_MoonBird	1
98	CadenSteele	1
98	Merv__	1
98	Wooptey	1
98	Prodiginus	1
98	dopplexd	1
98	SteveCraftBlocks	1
98	surfinggiraffejp	1
98	2Stout	1
98	fallingemma	1
98	Bumpy419	1
98	Hiryu27	1
98	Onennon	1
98	Skomo	1
98	Leyna3	1
98	Akoot_	1
98	NomadicRobin_	1
98	Xclax101	1
98	THEKINGLyric10	1
98	MovingFish7	1
98	Ze_BaronKrigler	1
98	NebulousBadger	1
98	stavgod	1
98	Kowcio_	1
98	Soplight	1
98	Poppy235	1
98	Quotary	1
98	Nicserso	1
98	bladeefan2009	1
98	00000000-0000-0000-0009-01ff0c3e5e4f	1
