rank	username	minecraft:dropped/minecraft:deepslate_gold_ore
1	groofles	66
2	Lez_	39
3	Segotep999	37
4	GooseWithin	33
5	beeperbeeper5	20
5	TheSecondLord	20
5	LeonelSalamanca	20
8	SOA1RR	19
9	thewindmillman	18
10	Hyp3rion_	17
10	YungMaki	17
12	H0UNDFRMH3LL	16
12	Racengan	16
12	mihimihimihi	16
15	catandmoose	15
15	noam464	15
17	Mattesco	14
18	BungalowBeet	12
19	PaperCanvas	11
19	Fuad_R	11
19	KujikawaRisechi	11
22	MilleGrug	10
23	Jackattack53	9
24	Creativebuilder2	8
25	eitanzaki	6
25	Da_Boss_Rani	6
25	Smashic	6
25	Krowuss	6
25	pixelviolin	6
30	Secret_Canary	5
30	KGTV	5
30	Kakolbus	5
30	verynothing	5
30	EcksD	5
35	ITDV	4
35	500am	4
37	k_ce	3
37	AlexxO_o	3
37	Nicserso	3
40	shadowthemonkey	2
40	Werbe	2
40	Hahaa_0	2
40	fluddd	2
40	Kowcio_	2
45	PazinGaming	1
45	diamondgolem35	1
45	Mahoose	1
45	KingEgg1	1
45	ScootOfBoot	1
45	StarCookiees_	1
